id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 1 0 -3.0
2 1 0 0 0 0 1 -1.494850021680094
3 1 0 0 0 0 1 -0.31623273857468837
4 0 1 1 0 0 0 -3.6989700043360187
5 0 1 1 0 0 0 -3.642065152999546
6 0 1 1 0 0 0 -3.642065152999546
7 0 1 1 0 0 0 -3.642065152999546
8 0 1 0 1 0 0 -4.0
9 1 0 1 0 0 0 0.21664085832544844
10 1 0 0 0 1 0 -3.0
11 0 1 1 0 0 0 -3.642065152999546
12 0 1 1 0 0 0 -3.642065152999546
13 0 1 1 0 0 0 -3.642065152999546
