id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
1 1 0 0 0 0 1 0 0 0 -2.3712032290698377 0
2 1 0 0 0 0 1 0 0 0 -3.6390054185493352 0
3 1 0 0 0 0 1 0 0 0 -2.748441103322807 0
4 1 0 0 0 0 1 0 0 0 -2.3315745699014996 0
5 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
6 1 0 0 0 0 1 0 0 0 -3.8040146036420306 0
7 1 0 0 0 0 1 0 0 0 -3.364295140995871 0
8 1 0 0 0 0 1 0 0 0 -3.4559480868872057 0
9 1 0 0 0 0 1 0 0 0 -1.9183594083992686 0
10 1 0 0 0 0 1 0 0 0 -2.9856823754029516 0
11 1 0 0 0 0 1 0 0 0 -3.1610313373891867 0
12 1 0 0 0 0 1 0 0 0 -3.1287201953869928 0
13 1 0 0 0 0 1 0 0 0 -3.3269772487370917 0
14 1 0 0 0 0 1 0 0 0 -2.6397128208710527 0
15 1 0 0 0 0 1 0 0 0 -2.7408580893623347 0
16 1 0 0 0 0 1 0 0 0 -2.7924520693142263 0
17 1 0 0 0 0 1 0 0 0 -2.878591512309745 0
18 1 0 0 0 0 1 0 0 0 -2.2286715563815633 0
19 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
20 1 0 0 0 0 1 0 0 0 -2.341337363794255 0
21 1 0 0 0 0 1 0 0 0 -2.7074039382755846 0
22 1 0 0 0 0 1 0 0 0 -2.9844470349145027 0
23 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
24 1 0 0 0 0 1 0 0 0 -2.4325563702558877 0
25 1 0 0 0 0 1 0 0 0 -1.6440843183502958 0
26 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
27 1 0 0 0 0 1 0 0 0 -2.9369873190377906 0
28 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
29 1 0 0 0 0 1 0 0 0 -2.9341447842582076 0
30 1 0 0 0 0 1 0 0 0 -3.023741292046026 0
31 1 0 0 0 0 1 0 0 0 -4.991399828238082 0
32 1 0 0 0 0 1 0 0 0 -4.586700235918748 0
33 1 0 0 0 0 1 0 0 0 -4.841637507904751 0
34 1 0 0 0 0 1 0 0 0 -3.6570426765624067 0
35 1 0 0 0 0 1 0 0 0 -4.4179366370882915 0
36 1 0 0 0 0 1 0 0 0 -4.283162276700476 0
37 1 0 0 0 0 1 0 0 0 -4.634512015109101 0
38 1 0 0 0 0 1 0 0 0 -4.621602099051862 0
39 1 0 0 0 0 1 0 0 0 -4.394694953858891 0
40 1 0 0 0 0 1 0 0 0 -4.747146969020107 0
41 1 0 0 0 0 1 0 0 0 -4.316052869248488 0
42 1 0 0 0 0 1 0 0 0 -0.7160086198236506 0
43 1 0 0 0 0 1 0 0 0 -1.1806464258583222 0
44 1 0 0 0 0 1 0 0 0 -5.308034897232639 0
45 1 0 0 0 0 1 0 0 0 -5.148130399270234 0
46 1 0 0 0 0 1 0 0 0 -4.701146923590294 0
47 1 0 0 0 0 1 0 0 0 -3.71160096643621 0
48 1 0 0 0 0 1 0 0 0 -1.5534575363056389 0
49 1 0 0 0 0 1 0 0 0 -3.9360364893367836 0
50 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
51 1 0 0 0 0 1 0 0 0 -2.2948678879307254 1
52 1 0 0 0 0 1 0 0 0 -4.074172425375258 0
53 1 0 0 0 0 1 0 0 0 -4.913640169325252 0
54 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
55 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
56 1 0 0 0 0 1 0 0 0 -6.133122185662501 0
57 1 0 0 0 0 1 0 0 0 -4.3851027839668655 0
58 1 0 0 0 0 1 0 0 0 -5.141462802430361 0
59 1 0 0 0 0 1 0 0 0 -5.209714835966758 0
60 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
61 1 0 0 0 0 1 0 0 0 -5.189767482004916 0
62 1 0 0 0 0 1 0 0 0 -5.147520006363144 0
63 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
64 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
65 1 0 0 0 0 1 0 0 0 -4.119186407719209 0
66 1 0 0 0 0 1 0 0 0 -0.8995949884341112 0
67 1 0 0 0 0 1 0 0 0 -4.600326278518962 0
68 1 0 0 0 0 1 0 0 0 -5.485452247339714 0
69 1 0 0 0 0 1 0 0 0 -5.485452247339714 0
70 1 0 0 0 0 1 0 0 0 -2.2097148359667584 0
71 1 0 0 0 0 1 0 0 0 -3.760082685412345 0
72 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
73 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
74 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
75 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
76 1 0 0 0 0 1 0 0 0 -5.102922996790579 0
77 1 0 0 0 0 1 0 0 0 -4.889410289700751 0
78 1 0 0 0 0 1 0 0 0 -4.2580609222708015 0
79 1 0 0 0 0 1 0 0 0 -4.8996294548824375 0
80 1 0 0 0 0 1 0 0 0 -5.175223537524454 0
81 1 0 0 0 0 1 0 0 0 -5.617982957425132 0
82 1 0 0 0 0 1 0 0 0 -4.686132779630847 0
83 1 0 0 0 0 1 0 0 0 -3.9070584054529816 0
84 1 0 0 0 0 1 0 0 0 -3.4352499250505497 0
85 1 0 0 0 0 1 0 0 0 -4.167491087293763 0
86 1 0 0 0 0 1 0 0 0 -3.9544540623693325 0
87 1 0 0 0 0 1 0 0 0 -3.695548250250727 0
