id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 0 1 0 0 -0.7212463990471711
1 1 0 0 0 0 0 1 0.8802417758954805
2 1 0 0 0 1 0 0 -0.7375489102695706
3 0 1 0 1 0 0 0 -0.5086383061657274
4 0 1 0 1 0 0 0 -0.6575773191777938
5 1 0 0 0 1 0 0 -0.9208187539523751
6 1 0 0 0 0 0 1 1.3334472744967505
7 1 0 0 0 1 0 0 -2.619788758288394
8 1 0 0 1 0 0 0 -1.9244530386074692
9 1 0 0 1 0 0 0 -0.8239087409443189
10 1 0 0 0 0 0 1 -3.0
11 0 0 1 0 0 0 1 -3.642065152999546
12 1 0 0 1 0 0 0 -2.795880017344075
13 1 0 0 0 1 0 0 -0.8860566476931634
14 1 0 0 1 0 0 0 -3.154901959985743
15 1 0 0 0 1 0 0 -0.7958800173440752
16 1 0 0 0 1 0 0 -0.744727494896694
17 1 0 0 0 1 0 0 -1.8961962790440432
18 1 0 0 0 1 0 0 -2.0
19 1 0 0 0 1 0 0 -3.2218487496163566
20 1 0 0 0 1 0 0 -2.552841968657781
21 1 0 0 0 1 0 0 -3.5228787452803374
22 1 0 0 0 1 0 0 1.0166155475571774
23 1 0 0 0 1 0 0 -2.136677139879544
24 1 0 0 0 1 0 0 -2.6777807052660805
25 1 0 0 0 1 0 0 -1.259637310505756
26 1 0 0 0 1 0 0 -2.795880017344075
27 0 0 1 0 0 0 1 -3.642065152999546
28 0 0 1 0 0 0 1 -3.642065152999546
29 0 0 1 0 0 0 1 -3.642065152999546
30 1 0 0 0 1 0 0 -2.638272163982407
31 0 0 1 0 0 0 1 -3.642065152999546
32 0 0 1 0 0 0 1 -3.642065152999546
33 1 0 0 1 0 0 0 -3.5228787452803374
34 1 0 0 0 1 0 0 -2.6989700043360187
35 0 0 1 0 0 0 1 -3.642065152999546
36 1 0 0 0 0 0 1 -2.2291479883578558
37 1 0 0 0 1 0 0 -2.036212172654445
38 1 0 0 0 1 0 0 -2.3010299956639813
39 1 0 0 0 0 1 1 -1.7695510786217261
40 1 0 0 0 1 0 0 -2.795880017344075
41 1 0 0 0 1 0 0 -2.0
42 0 0 1 0 0 1 0 -4.0
43 1 0 0 0 1 0 0 -3.6989700043360187
44 1 0 0 1 0 0 0 -3.0
45 1 0 0 0 1 0 0 -2.677780705266081
46 0 0 1 0 0 0 1 -3.642065152999546
47 0 0 1 0 0 0 1 -3.642065152999546
