id met_invertebrate met_primary_producer mov_walking mov_other mov_swimming mov_sessile log_mass
0 1 0 1 0 0 0 -2.6020599913279625
1 1 0 1 0 0 0 -2.585026652029182
2 1 0 1 0 0 0 -2.769551078621726
3 0 1 0 0 0 1 -3.6420651529995465
4 1 0 0 0 1 0 -0.9523358053984401
5 1 0 1 0 0 0 -1.0793549985932125
6 1 0 1 0 0 0 -0.9779842601822797
7 1 0 1 0 0 0 -1.238072161579471
8 1 0 1 0 0 0 -2.0
9 1 0 1 0 0 0 -0.426896216836009
10 0 1 0 1 0 0 -4.0
11 1 0 0 0 0 1 0.404234866653423
12 1 0 1 0 0 0 -2.3767507096020997
13 1 0 0 0 1 0 -3.0
14 0 1 0 0 0 1 -3.6420651529995465
15 0 1 0 0 0 1 -3.6420651529995465
16 1 0 1 0 0 0 -2.853871964321762
