id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.6420651529995465
1 1 0 0 0 1 0 -0.8486301497525396
2 1 0 0 0 1 0 -3.0
3 1 0 0 0 0 1 0.3493941009438674
4 1 0 0 0 0 1 -0.9270152553720696
5 1 0 0 0 0 1 -1.4353339357479107
6 1 0 0 0 0 1 -2.0
7 1 0 0 0 0 1 -0.1259822961378137
8 0 1 1 0 0 0 -3.6420651529995465
9 0 1 1 0 0 0 -3.6989700043360187
10 0 1 1 0 0 0 -3.6420651529995465
11 0 1 0 1 0 0 -4.0
12 1 0 1 0 0 0 -3.6989700043360187
13 1 0 1 0 0 0 0.6560790274402376
14 1 0 0 0 1 0 -3.0
15 1 0 0 0 0 1 -3.6989700043360187
