id met_invertebrate met_primary_producer mov_sessile mov_other mov_walking mov_swimming log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 0 1 -0.7785857621576613
2 1 0 0 0 1 0 -0.83209218999852
3 1 0 0 0 1 0 -1.0814454694497264
4 0 1 1 0 0 0 -3.642065152999546
5 0 1 0 1 0 0 -4.0
6 1 0 1 0 0 0 -0.005374946231395327
7 1 0 0 0 1 0 -3.6989700043360187
8 1 0 0 0 0 1 -3.0
9 0 1 1 0 0 0 -3.642065152999546
