id met_invertebrate met_primary_producer mov_swimming mov_other mov_walking mov_sessile log_mass
0 1 0 0 0 1 0 -2.3979400086720375
1 1 0 0 0 0 1 -2.0
2 1 0 0 0 0 1 -2.0
3 1 0 1 0 0 0 -2.721246399047171
4 1 0 0 0 1 0 -2.022276394711152
5 1 0 1 0 0 0 -0.5975666537806881
6 1 0 0 0 1 0 -2.2839966563652006
7 1 0 1 0 0 0 -2.494850021680094
8 1 0 0 0 1 0 -2.408935392973501
9 1 0 0 0 0 1 -3.3979400086720375
10 1 0 0 0 1 0 -2.0
11 0 1 0 0 0 1 -3.642065152999546
12 1 0 1 0 0 0 -3.0457574905606752
13 1 0 0 0 1 0 -2.0
14 1 0 1 0 0 0 -3.0
15 1 0 1 0 0 0 -3.0
16 1 0 0 0 0 1 -2.0
17 1 0 0 0 1 0 -2.0
18 1 0 0 0 1 0 -2.619788758288394
19 1 0 0 0 1 0 -3.3979400086720375
20 1 0 1 0 0 0 -3.0
21 1 0 0 1 1 0 -2.0
22 1 0 0 0 1 0 -2.3979400086720375
23 1 0 0 0 1 0 -2.8239087409443187
24 1 0 0 0 1 0 -2.0
25 0 1 0 0 0 1 -3.642065152999546
26 0 1 0 0 0 1 -3.642065152999546
27 0 1 0 0 0 1 -3.642065152999546
28 0 1 0 0 0 1 -3.642065152999546
29 0 1 0 0 0 1 -3.642065152999546
30 0 1 0 0 0 1 -3.642065152999546
31 0 1 0 1 0 0 -4.0
32 1 0 0 0 0 1 -1.4329736338409396
33 1 0 0 0 0 1 -3.0
34 1 0 1 0 0 0 -3.0
35 0 1 0 0 0 1 -3.642065152999546
36 0 1 0 0 0 1 -3.642065152999546
37 0 1 0 0 0 1 -3.642065152999546
38 0 1 0 0 0 1 -3.642065152999546
