id met_invertebrate met_detritus met_ectotherm_vertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 1 0 0 0 1 0 0 -5.494850021680094 0
1 1 0 0 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 0.9719712763997564 0
3 1 0 0 0 1 0 0 -5.164309428507575 0
4 0 0 1 0 1 0 0 -1.795880017344075 0
5 1 0 0 0 1 0 0 -5.354577730650908 0
6 0 0 0 1 0 0 1 -10.590066876668706 0
7 1 0 0 0 1 0 0 -4.841637507904751 0
8 1 0 0 0 1 0 0 -5.2373214362725635 0
9 1 0 0 0 1 0 0 -5.809668301829708 0
10 1 0 0 0 1 0 0 -5.661543506395395 0
11 0 0 0 1 0 0 1 -10.323306390375134 0
12 1 0 0 0 1 0 0 -7.698970004336019 0
13 1 0 0 0 1 0 0 -8.0 0
14 1 0 0 0 1 0 0 -8.0 0
15 1 0 0 0 1 0 0 -6.068033885271827 0
16 1 0 0 0 1 0 0 -5.910094888560602 0
17 1 0 0 0 1 0 0 -2.7417564900754847 0
18 0 0 0 1 0 0 1 -10.323306390375134 0
19 0 0 0 1 0 0 1 -8.866461091629782 0
20 0 0 0 1 0 0 1 -10.886056647693163 0
21 0 0 0 1 0 0 1 -8.247951552180561 0
22 0 0 0 1 0 0 1 -9.045275209020938 0
23 0 0 1 0 1 0 0 2.5224442335063197 0
24 0 0 0 1 0 0 1 -7.064996848546345 0
25 0 0 0 1 1 0 0 -7.251811972993799 0
26 1 0 0 0 1 0 0 -5.1249387366083 0
27 0 0 0 1 0 0 1 -8.97061622231479 0
28 0 0 0 1 0 0 1 -8.97061622231479 0
29 0 1 0 0 0 1 0 -11.45717457304082 1
30 0 0 1 0 0 0 1 -1.6968039425795112 0
31 0 0 0 1 1 0 0 -11.45717457304082 0
