,importance
KNN-out-D1,0.0009912536443149379
log_mass_i,0.0005830903790088326
KNN-in-D2,0.0001749271137026831
KNN-out-D3,5.830903790091657e-05
KNN-out-D2,5.830903790091657e-05
KNN-out-D5,5.830903790091657e-05
KNN-in-D1,5.8309037900894364e-05
euclidean_num,4.4408920985006264e-17
LNTDi,0.0
met_ectotherm_vertebrate_j,0.0
met_primary_producer_i,0.0
met_invertebrate_j,0.0
met_invertebrate_i,0.0
met_detritus_j,0.0
met_detritus_i,0.0
EAA,0.0
met_ectotherm_vertebrate_i,0.0
mov_swimming_i,0.0
ERA,0.0
LNTDj,0.0
ELHN,0.0
ECN-score,0.0
met_primary_producer_j,0.0
mov_floating_j,0.0
mov_swimming_j,0.0
mov_other_nonliving_j,0.0
mov_floating_i,0.0
LCCDj,0.0
mass_missing_i,0.0
mass_missing_j,0.0
euclidean,0.0
dot_product,0.0
manhattan_num,0.0
cosine_num,0.0
hamming,0.0
jaccard_attr,0.0
KNN-in-D3,0.0
KNN-in-D4,0.0
ECN,0.0
EJC,0.0
LCCDi,0.0
DCIi,0.0
LRA,0.0
dLRA,0.0
mLRA,0.0
DSPBCj,0.0
dLRA-approx,0.0
mLRA-approx,0.0
DSP,0.0
ANDIi,0.0
ANDOi,0.0
DSPBCi,0.0
ECIi,0.0
LCi,0.0
ECOi,0.0
ECOj,0.0
LCj,0.0
trophic-i,0.0
KCOi,0.0
CCIi,0.0
PPRD,0.0
trophic-j,0.0
KCIi,0.0
CCOj,0.0
EPA,-5.830903790084996e-05
cosine,-5.8309037900872165e-05
log_mass_ratio,-0.00011661807580174433
ECIj,-0.00011661807580174433
KNN-in-D6,-0.00017492711370261648
CCOi,-0.00023323615160348866
log_mass_j,-0.00023323615160348866
ANDOj,-0.00023323615160348866
LRA-approx,-0.00023323615160348866
DCOj,-0.00023323615160348866
KCOj,-0.00023323615160348866
DCOi,-0.0002915451895043608
KCIj,-0.0002915451895043608
dot_product_num,-0.0002915451895043608
PRDi,-0.00034985422740523297
ANDIj,-0.00034985422740523297
CCIj,-0.00034985422740523297
DCIj,-0.0004664723032069773
manhattan,-0.0005247813411078494
KNN-out-D4,-0.0005247813411078494
mov_other_nonliving_i,-0.0005830903790087216
PRDj,-0.0009912536443148269
KNN-in-D5,-0.0037900874635568237
KNN-out-D6,-0.004548104956268184
