,importance
KNN-out-D6,0.12709980927666342
KNN-out-D4,0.09128397777220076
DCIj,0.07893861217692845
KNN-in-D5,0.07611493282186314
KNN-out-D2,0.06946958862277218
KNN-out-D1,0.06299276844154518
LRA-approx,0.05749885186743339
PRDj,0.0460909125722916
KCIj,0.03889590429626727
KNN-out-D3,0.03385572753129061
KNN-out-D5,0.029671442853884837
ANDIj,0.028211987306966793
log_mass_j,0.02698686991459484
CCIj,0.02003780795454641
KNN-in-D6,0.018662068727974972
DCOj,0.01766660703128374
EPA,0.016726478081206732
CCOi,0.01633785619034543
KNN-in-D1,0.01586075431316158
log_mass_i,0.013258006061853874
ANDOj,0.01315760842404048
log_mass_ratio,0.010730524361414083
ECIj,0.010546346984266868
dot_product_num,0.009953902653671874
KNN-in-D2,0.009201023269779826
dot_product,0.008000827106818039
KNN-in-D4,0.007407128077394878
KCOi,0.006741691486766506
KCOj,0.006586142456557784
euclidean,0.005309396895920849
manhattan_num,0.003288270827863504
euclidean_num,0.0029977343679234696
manhattan,0.0026971112128450626
mov_other_nonliving_i,0.002279227250970927
CCOj,0.0020099477405494544
met_detritus_i,0.0017838294422561874
DSPBCj,0.0016612461458520636
ECOi,0.0016416715412503546
DCOi,0.001383663535253366
ECN-score,0.0012470124396257631
LCj,0.0010044539101276221
PRDi,0.0009707097684205505
ANDOi,0.0009634372295455552
hamming,0.0008409023455511928
dLRA-approx,0.0006291742668442757
cosine,0.0005283168389027911
ERA,0.00028505048982344246
LNTDj,0.00027371396405867715
mass_missing_i,0.00021897115062938008
mass_missing_j,0.0
KNN-in-D3,0.0
mov_swimming_i,0.0
jaccard_attr,0.0
mov_floating_j,0.0
mov_floating_i,0.0
mov_other_nonliving_j,0.0
cosine_num,0.0
mov_swimming_j,0.0
LNTDi,0.0
met_primary_producer_j,0.0
ECOj,0.0
trophic-i,0.0
trophic-j,0.0
PPRD,0.0
DSPBCi,0.0
LCi,0.0
LRA,0.0
dLRA,0.0
mLRA,0.0
mLRA-approx,0.0
DSP,0.0
ANDIi,0.0
ECIi,0.0
DCIi,0.0
met_primary_producer_i,0.0
CCIi,0.0
KCIi,0.0
LCCDi,0.0
LCCDj,0.0
ECN,0.0
ELHN,0.0
EAA,0.0
met_ectotherm_vertebrate_i,0.0
met_ectotherm_vertebrate_j,0.0
met_detritus_j,0.0
met_invertebrate_i,0.0
met_invertebrate_j,0.0
EJC,0.0
