id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_walking mov_other mov_swimming mov_sessile log_mass
0 1 0 0 1 0 0 0 -2.9982615290105903
1 1 0 0 1 0 0 0 -2.945220765772515
2 0 0 1 0 0 1 0 1.1836203407534605
3 1 0 0 1 0 0 0 -3.44633417490199
4 1 0 0 0 0 1 0 -2.6144863142711263
5 0 0 1 0 0 1 0 0.07090674640360548
6 1 0 0 1 0 0 0 -2.053615979605987
7 1 0 0 1 0 0 0 -3.1813011282528505
8 1 0 0 1 0 0 0 -3.53939378845758
9 1 0 0 1 0 0 0 -1.973010455349695
10 1 0 0 1 0 0 0 -2.18575060581306
11 1 0 0 1 0 0 0 -2.6688803617599395
12 1 0 0 1 0 0 0 -1.6932216755461034
13 1 0 0 1 0 0 0 -2.9201735822814805
14 1 0 0 1 0 0 0 -3.061972887936023
15 0 0 1 0 0 1 0 1.5110532135438783
16 1 0 0 1 0 0 0 -1.9544715820081051
17 1 0 0 1 0 0 0 -1.932886535318063
18 1 0 0 0 0 0 1 -3.788118907816562
19 1 0 0 0 0 0 1 -3.325600944588754
20 1 0 0 0 0 0 1 -3.284015865969039
21 1 0 0 1 0 0 0 -3.2769328216933684
22 0 1 0 0 1 0 0 -8.355561410532161
23 1 0 0 1 0 0 0 -2.4997871347449454
24 1 0 0 1 0 0 0 -3.4268439932211563
25 1 0 0 1 0 0 0 -3.8891006706964624
26 1 0 0 1 0 0 0 -3.786538027528894
27 1 0 0 1 0 0 0 -4.012780770091995
28 1 0 0 1 0 0 0 -4.136677139879544
29 1 0 0 1 0 0 0 -3.6673959337677036
30 1 0 0 1 0 0 0 -3.212692582804999
31 1 0 0 1 0 0 0 -3.256736457524032
32 1 0 0 1 0 0 0 -2.500915575340037
33 1 0 0 0 1 0 0 -2.4184567374961716
34 1 0 0 1 0 0 0 -1.983399082435982
35 1 0 0 1 0 0 0 -3.624137113453843
36 1 0 0 1 0 0 0 -3.980513989374211
37 1 0 0 1 0 0 0 -1.5703787384732368
38 1 0 0 1 0 0 0 -3.4705555287250403
39 1 0 0 1 0 0 0 -4.4621809049267265
40 1 0 0 1 0 0 0 -3.81560103581873
41 0 1 0 0 1 0 0 -8.643974142806877
42 0 1 0 0 1 0 0 -8.441291429466835
43 0 1 0 0 1 0 0 -9.039529222465701
44 0 1 0 0 1 0 0 -8.935542010773082
45 1 0 0 1 0 0 0 -2.0109196677617662
46 1 0 0 1 0 0 0 -2.6772323928484068
47 1 0 0 1 0 0 0 -3.103372936491238
48 1 0 0 1 0 0 0 -3.127017896048245
49 1 0 0 1 0 0 0 -4.061480274823508
50 1 0 0 1 0 0 0 -2.5250475170428675
51 1 0 0 1 0 0 0 -4.605548319173784
52 1 0 0 0 1 0 1 -1.9141031175966559
53 1 0 0 1 0 0 0 -3.9257615408262465
54 1 0 0 1 0 0 0 -4.287350298372789
55 1 0 0 1 0 0 0 -2.8413887646056155
56 1 0 0 1 0 0 0 -4.089909454405932
57 1 0 0 1 0 0 0 -4.006123085058789
58 0 1 0 0 1 0 0 -9.062983892535186
59 0 1 0 0 1 0 0 -9.281498311132726
60 0 1 0 0 1 0 0 -7.863279432843593
61 0 1 0 0 1 0 0 -8.163675884293248
62 0 1 0 0 1 0 0 -7.826813731587726
63 0 1 0 0 1 0 0 -8.462180904926726
64 0 1 0 0 1 0 0 -8.132532512140948
65 0 1 0 0 1 0 0 -8.41228903498109
66 1 0 0 1 0 0 0 -2.3117201003149943
67 0 1 0 0 1 0 0 -8.301029995663981
68 0 1 0 0 1 0 0 -7.164943898279883
69 1 0 0 1 0 0 0 -4.131943638176958
70 0 1 0 0 1 0 0 -8.193141970481182
71 1 0 0 0 0 1 0 -3.7904233307408792
72 0 1 0 0 1 0 0 -8.452225294612177
73 1 0 0 1 0 0 0 -2.91075389171882
74 0 1 0 0 1 0 0 -7.889410289700751
75 0 1 0 0 1 0 0 -8.306273051076353
76 0 1 0 0 1 0 0 -7.889410289700751
77 0 1 0 0 1 0 0 -7.950781977329818
78 0 1 0 0 1 0 0 -7.436518914605589
79 0 1 0 0 1 0 0 -8.954677021213342
80 0 1 0 0 1 0 0 -7.889410289700751
81 0 1 0 0 1 0 0 -7.889410289700751
82 0 1 0 0 1 0 0 -7.607303046740334
83 0 1 0 0 1 0 0 -7.431798275933005
84 0 1 0 0 1 0 0 -8.221848749616356
85 0 1 0 0 1 0 0 -8.221848749616356
86 0 1 0 0 1 0 0 -7.694648630553377
87 1 0 0 1 0 0 0 -2.4627575775162436
88 0 1 0 0 1 0 0 -8.65955588515988
89 0 1 0 0 1 0 0 -8.60906489289662
90 0 1 0 0 1 0 0 -8.465973893943865
91 0 1 0 0 1 0 0 -8.465973893943865
92 0 1 0 0 1 0 0 -8.684029654543082
93 0 1 0 0 1 0 0 -8.684029654543082
94 0 1 0 0 1 0 0 -7.801342913045577
