id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_walking mov_flying mov_swimming mov_other log_mass
0 0 1 0 1 0 0 0 -4.462180904926726
1 0 1 0 1 0 0 0 -4.462180904926726
2 0 1 0 1 0 0 0 -3.6695578157915905
3 0 1 0 1 0 0 0 -3.9766034855222485
4 0 1 0 1 0 0 0 -4.172630726946175
5 0 1 0 1 0 0 0 -2.738706672169519
6 0 1 0 1 0 0 0 -2.445720951241023
7 0 1 0 1 0 0 0 -2.4324516173671764
8 0 1 0 1 0 0 0 -1.3869712914133348
9 0 1 0 1 0 0 0 -2.6447009982296596
10 0 1 0 1 0 0 0 -1.1209840449229602
11 1 0 0 0 1 0 0 1.3010299956639813
12 1 0 0 0 1 0 0 2.322219294733919
13 0 1 0 1 0 0 0 -1.1562534072894022
14 1 0 0 1 0 0 0 3.6989700043360187
15 0 1 0 1 0 0 0 -1.4310969170417822
16 0 1 0 1 0 0 0 -2.3382322601171355
17 0 1 0 1 0 0 0 -3.008013688436742
18 0 1 0 1 0 0 0 -1.9632942317384154
19 0 1 0 1 0 0 0 -1.9457309172377983
20 0 1 0 1 0 0 0 -3.008013688436742
21 0 1 0 1 0 0 0 -3.3090441264835104
22 0 1 0 1 0 0 0 -2.8319225768419396
23 0 1 0 1 0 0 0 -2.911103763905207
24 0 1 0 1 0 0 0 -2.094248846174364
25 0 1 0 1 0 0 0 -2.2574847629623855
26 0 1 0 1 0 0 0 -1.8993119156044582
27 0 1 0 1 0 0 0 -1.8910618260131176
28 0 1 0 1 0 0 0 -2.13732233798529
29 0 1 0 1 0 0 0 -2.13732233798529
30 0 1 0 1 0 0 0 -3.6100741221474917
31 0 1 0 1 0 0 0 -2.6558314160935392
32 0 1 0 1 0 0 0 -2.8765142347764607
33 0 1 0 1 0 0 0 -4.201349354554731
34 0 1 0 1 0 0 0 -3.4445717931368303
35 0 1 0 1 0 0 0 -2.13732233798529
36 0 1 0 1 0 0 0 -3.0067600179419958
37 0 1 0 1 0 0 0 -2.6165067056040536
38 0 1 0 0 1 0 0 -0.6186024885899137
39 0 1 0 1 0 0 0 -3.9766034855222485
40 0 1 0 1 0 0 0 -2.8900183553596137
41 0 1 0 1 0 0 0 -3.1414585918394518
42 0 1 0 1 0 0 0 -3.1094225068749637
43 0 1 0 1 0 0 0 -3.009818372285471
44 0 1 0 1 0 0 0 -3.1094225068749637
45 0 1 0 1 0 0 0 -3.4362982636361044
46 0 1 0 1 0 0 0 -2.984483490898648
47 0 1 0 1 0 0 0 -3.1414585918394518
48 0 1 0 1 0 0 0 -3.7089376617689367
49 0 1 0 1 0 0 0 -3.949720804414132
50 0 1 0 0 1 0 0 -3.098362984392817
51 0 1 0 1 0 0 0 -1.6776000970019138
52 0 1 0 1 0 0 0 -3.098362984392817
53 0 1 0 0 1 0 0 -3.5754842391124795
54 0 1 0 1 0 0 0 -2.4620393102457228
55 0 1 0 0 1 0 0 -1.7899299526981491
56 0 1 0 0 1 0 0 -1.6060133682425868
57 0 1 0 0 1 0 0 -2.429356320152977
58 0 1 0 0 1 0 0 -3.098362984392817
59 0 1 0 0 1 0 0 -2.7973332610726
60 0 1 0 0 1 0 0 -4.053056729302175
61 0 1 0 1 0 0 0 -2.970242970677228
62 0 1 0 1 0 0 0 -3.223558889560641
63 0 1 0 0 1 0 0 -0.5009088688861186
64 0 1 0 0 1 0 0 -0.5009088688861186
65 0 1 0 0 1 0 0 -0.6112145544937153
66 0 1 0 1 0 0 0 -2.2467609129017796
67 0 1 0 1 0 0 0 -1.5198374004354918
68 0 1 0 0 1 0 0 -3.575484239112479
69 0 1 0 1 0 0 0 -3.053365016023212
70 0 1 0 0 1 0 0 -1.86753480585446
71 0 1 0 1 0 0 0 -3.309044126483511
72 0 1 0 1 0 0 0 -2.2111847715601067
73 0 1 0 1 0 0 0 -1.662264216119581
74 0 1 0 1 0 0 0 -3.276913101166468
75 0 1 0 1 0 0 0 -2.097992809264027
76 0 1 0 1 0 0 0 -2.790431908264232
77 0 1 0 1 0 0 0 -2.1414584715374545
78 0 1 0 0 1 0 0 -1.3013265636852251
79 0 1 0 1 0 0 0 -0.7876627762823429
80 0 1 0 1 0 0 0 -1.7950867975760774
81 0 1 0 1 0 0 0 -2.189763179418359
82 0 1 0 1 0 0 0 -1.4857687308839935
83 0 1 0 1 0 0 0 -1.436298904073459
84 0 1 0 1 0 0 0 -3.949720804414132
85 0 1 0 1 0 0 0 -1.9457309172377983
86 0 1 0 1 0 0 0 -1.2494171720647995
87 0 1 0 1 0 0 0 -2.6447009982296596
88 0 1 0 1 0 0 0 -1.6610609307830846
89 0 1 0 1 0 0 0 -3.1283260910515565
90 0 1 0 0 0 1 0 -0.6740735603123835
91 0 1 0 1 0 0 0 -1.9605455071953042
92 0 1 0 1 0 0 0 -2.4009069052646987
93 0 1 0 0 1 0 0 -1.1588439070759122
94 0 1 0 1 0 0 0 -1.4852548011304
95 0 1 0 1 0 0 0 -3.008677326686786
96 0 1 0 0 1 0 0 -3.8487558283008285
97 0 1 0 1 0 0 0 -2.558514758626367
98 0 1 0 0 0 1 0 -2.4785743568294087
99 0 1 0 1 0 0 0 -2.4079072217277777
100 0 1 0 1 0 0 0 -2.9111037639052073
101 0 1 0 0 1 0 0 -3.7873171028343093
102 0 1 0 0 0 1 0 -3.128326091051556
103 0 1 0 0 1 0 0 -2.8826375452231803
104 0 1 0 1 0 0 0 -2.248346055321432
105 0 1 0 1 0 0 0 -2.285513486562629
106 0 1 0 0 1 0 0 -1.5036024118301792
107 0 1 0 1 0 0 0 -2.020962654328611
108 0 1 0 1 0 0 0 -3.4784879561959503
109 0 1 0 0 1 0 0 -3.2292628339468856
110 0 1 0 1 0 0 0 -2.4620393102457228
111 0 1 0 1 0 0 0 -4.4156687756324695
112 0 1 0 1 0 0 0 -3.1855160045994584
113 0 1 0 1 0 0 0 -2.7971606293868074
114 0 1 0 1 0 0 0 -2.189763179418359
115 0 1 0 0 1 0 0 -3.2744542434484982
116 0 1 0 1 0 0 0 -2.3978862680550344
117 0 1 0 1 0 0 0 -3.4162821972094815
118 0 1 0 1 0 0 0 -3.2087515882205473
119 0 1 0 1 0 0 0 -3.5536554812125964
120 0 1 0 1 0 0 0 -4.530177984021837
121 0 1 0 1 0 0 0 -2.4189025946349605
122 0 1 0 1 0 0 0 -2.9113235952346885
123 0 1 0 1 0 0 0 -3.6100741221474917
124 0 1 0 1 0 0 0 -1.4037850977124504
125 0 1 0 1 0 0 0 -3.522122284423846
126 0 0 1 1 0 0 0 2.0
127 0 1 0 1 0 0 0 -1.0801459571164904
128 0 1 0 0 1 0 0 -2.8046323382542186
129 0 1 0 0 1 0 0 -2.8765142347764603
130 0 1 0 0 1 0 0 -2.177544426527935
131 0 1 0 0 1 0 0 -1.9033865550131877
132 0 1 0 0 1 0 0 -2.5754844025187174
133 0 1 0 1 0 0 0 -3.134906097789716
134 0 1 0 1 0 0 0 -2.2111847715601067
135 0 1 0 0 1 0 0 -3.600546076756281
136 0 1 0 1 0 0 0 -2.4264889231338103
137 0 1 0 1 0 0 0 -0.4616230765919267
138 0 1 0 1 0 0 0 -1.877680100171706
139 0 1 0 0 1 0 0 -2.39079300053752
140 0 1 0 1 0 0 0 -1.9473160211893847
141 0 1 0 0 1 0 0 -3.1056623339182
142 0 1 0 0 0 0 1 -2.2744544068547365
143 0 1 0 1 0 0 0 -3.2087515882205473
144 0 1 0 1 0 0 0 -3.4362982636361044
145 0 1 0 1 0 0 0 -3.5536554812125964
146 0 1 0 1 0 0 0 -2.970242970677228
147 0 1 0 1 0 0 0 -3.1851919134124542
148 1 0 0 1 0 0 0 1.5440680443502757
149 0 1 0 0 1 0 0 -2.951202127751281
150 0 1 0 0 1 0 0 -2.951202127751281
151 0 1 0 1 0 0 0 -1.662264216119581
152 0 1 0 1 0 0 0 -1.6233021324849435
153 0 1 0 1 0 0 0 -0.5832956277815327
154 0 1 0 1 0 0 0 -2.3815783614248978
155 0 1 0 1 0 0 0 -2.2574847629623855
156 0 1 0 1 0 0 0 -2.826170344966612
157 0 1 0 1 0 0 0 -2.647296255375776
158 0 1 0 0 1 0 0 -1.7693044438541685
159 0 1 0 0 1 0 0 -3.195273269744638
160 0 1 0 1 0 0 0 -2.4009069052646987
161 0 1 0 1 0 0 0 -3.276913101166468
162 0 1 0 1 0 0 0 -3.0709976858140506
163 0 1 0 1 0 0 0 -4.530177984021837
164 0 1 0 0 1 0 0 -4.098541678603888
165 0 1 0 0 1 0 0 -3.306183528026854
166 0 1 0 1 0 0 0 -3.949720804414132
167 0 1 0 1 0 0 0 -2.6447009982296596
168 0 1 0 1 0 0 0 -2.4620393102457228
169 0 1 0 1 0 0 0 -3.4362982636361044
170 0 1 0 1 0 0 0 -2.558514758626367
171 0 1 0 1 0 0 0 -2.4324516173671764
172 0 1 0 1 0 0 0 -1.5198374004354918
173 0 1 0 1 0 0 0 -4.201349354554731
174 0 1 0 1 0 0 0 -3.053365016023212
175 0 1 0 1 0 0 0 -3.4445717931368303
176 0 1 0 1 0 0 0 -3.0067600179419958
177 0 1 0 0 0 1 0 -3.296730552156392
178 0 1 0 1 0 0 0 -2.452237966845679
179 0 1 0 1 0 0 0 -3.1283260910515565
180 0 1 0 1 0 0 0 -3.223558889560641
181 0 1 0 0 1 0 0 -3.6305076926562307
182 0 1 0 1 0 0 0 -3.1094225068749637
183 0 1 0 1 0 0 0 -2.558514758626367
184 0 1 0 1 0 0 0 -4.530177984021837
185 0 1 0 1 0 0 0 -1.797333152135074
186 0 1 0 1 0 0 0 -0.5543619806679897
187 0 1 0 0 1 0 0 -2.0440055143128637
188 0 1 0 1 0 0 0 -2.790431908264232
189 0 1 0 1 0 0 0 -4.467245621007502
190 0 1 0 0 1 0 0 -3.2252363958564314
191 0 1 0 0 1 0 0 -3.073057468550266
192 0 1 0 1 0 0 0 -4.201349354554731
193 0 1 0 1 0 0 0 -3.053365016023212
194 0 1 0 1 0 0 0 -3.4445717931368303
195 0 1 0 1 0 0 0 -2.1414584715374545
196 0 1 0 1 0 0 0 -2.2744544068547365
197 0 1 0 1 0 0 0 -1.2206624817225005
198 0 1 0 1 0 0 0 -0.5657212105481291
199 0 1 0 1 0 0 0 -2.998813825946618
200 0 1 0 0 0 0 1 -2.6851945792289404
201 0 1 0 1 0 0 0 -2.13732233798529
202 0 1 0 1 0 0 0 -3.6100741221474917
203 0 1 0 0 1 0 0 -2.5340917025053775
204 0 1 0 1 0 0 0 -1.482760965153906
205 0 1 0 1 0 0 0 -1.1729726228099644
206 0 1 0 1 0 0 0 -1.184981290672018
207 0 1 0 1 0 0 0 -1.2764392561890843
208 0 1 0 1 0 0 0 -3.0067600179419953
209 0 1 0 1 0 0 0 -2.6165067056040536
