id met_invertebrate met_primary_producer mov_swimming mov_floating log_mass
0 1 0 1 0 -5.809668301829708
1 1 0 1 0 -2.1694113313148558
2 0 1 0 1 -10.323306390375134
3 1 0 1 0 -4.396855627379818
4 1 0 1 0 -4.841637507904751
5 1 0 1 0 -8.0
6 1 0 1 0 -2.7417564900754847
7 0 1 0 1 -8.247951552180561
8 0 1 0 1 -10.61798295742513
9 0 1 0 1 -9.045275209020938
10 0 1 0 1 -7.064996848546345
11 0 1 0 1 -8.97061622231479
12 0 1 1 0 -11.45717457304082
