id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 1 0 0 0 0 0 1 -1.623423042943488
1 1 0 0 0 0 0 1 -1.9208187539523751
2 1 0 0 0 0 0 1 -1.7212463990471711
3 0 0 1 1 0 0 0 -2.0
4 1 0 0 0 0 0 1 0.20411998265592482
5 0 1 0 0 0 1 0 -3.642065152999546
6 1 0 0 0 0 0 1 2.005437923050822
7 1 0 0 0 0 0 1 -2.853871964321762
8 1 0 0 0 0 0 1 -2.853871964321762
9 1 0 0 1 0 0 0 -2.585026652029182
10 1 0 0 0 0 0 1 -2.154901959985743
11 1 0 0 1 0 0 0 -2.9208187539523753
12 1 0 0 0 0 0 1 -3.0457574905606752
13 1 0 0 0 0 0 1 -1.9208187539523751
14 0 1 0 0 0 1 0 -3.642065152999546
15 0 1 0 0 0 1 0 -3.642065152999546
16 0 1 0 0 0 1 0 -3.642065152999546
17 0 1 0 0 0 1 0 -3.642065152999546
18 0 1 0 0 0 1 0 -3.642065152999546
19 0 1 0 0 0 1 0 -3.642065152999546
20 1 0 0 0 0 0 1 -3.6989700043360187
21 0 1 0 0 0 1 0 -3.642065152999546
22 0 1 0 0 0 1 0 -3.642065152999546
23 0 1 0 0 0 1 0 -3.642065152999546
24 1 0 0 0 0 0 1 0.5314789170422551
25 0 1 0 0 0 1 0 -3.642065152999546
26 0 1 0 0 0 1 0 -3.642065152999546
27 0 1 0 0 0 1 0 -3.642065152999546
28 0 1 0 0 1 0 0 -4.0
29 1 0 0 0 0 1 0 -2.0
30 1 0 0 1 0 0 0 -3.0
31 0 1 0 0 0 1 0 -3.642065152999546
32 0 1 0 0 0 1 0 -3.642065152999546
