id met_invertebrate met_primary_producer mov_walking mov_other mov_sessile mov_swimming log_mass
0 0 1 0 0 1 0 -3.642065152999546
1 1 0 0 0 0 1 -0.7314220281171567
2 1 0 1 0 0 0 -3.6989700043360187
3 1 0 1 0 0 0 -0.2914941190447631
4 0 1 0 0 1 0 -3.642065152999546
5 0 1 0 0 1 0 -3.6989700043360187
6 0 1 0 0 1 0 -3.642065152999546
7 1 0 0 0 1 0 -3.6989700043360187
8 0 1 0 0 1 0 -3.642065152999546
9 0 1 0 1 0 0 -4.0
10 1 0 0 0 1 0 0.21218760440395779
11 1 0 0 0 0 1 -3.0
12 0 1 0 0 1 0 -3.642065152999546
13 0 1 0 0 1 0 -3.642065152999546
14 1 0 1 0 0 0 -3.6989700043360187
