id met_invertebrate met_primary_producer met_detritus met_heterotrophic_bacteria met_ectotherm_vertebrate met_endotherm_vertebrate mov_swimming mov_other mov_other_nonliving mov_sessile mov_walking log_mass mass_missing
41 0 0 0 0 1 0 1 0 0 0 0 2.222300181173794 0
42 0 0 0 0 1 0 1 0 0 0 0 3.4927603890268375 0
43 1 0 0 0 0 0 0 0 0 1 0 0.4797480147697498 0
44 1 0 0 0 0 0 0 1 0 1 0 -0.1099871974076411 0
45 1 0 0 0 0 0 1 0 0 0 0 -3.431798275933005 0
46 1 0 0 0 0 0 1 0 0 0 0 -2.4761365234933113 0
47 1 0 0 0 0 0 1 0 0 0 0 0.23174985439869203 0
48 1 0 0 0 0 0 1 0 0 0 0 -4.230622673923862 0
49 0 0 0 0 1 0 1 0 0 0 0 4.2576785748691846 0
50 0 0 0 0 1 0 1 0 0 0 0 4.505149978319906 0
51 0 0 0 0 1 0 1 0 0 0 0 4.3979400086720375 0
52 0 0 0 0 1 0 1 0 0 0 0 4.698970004336019 0
53 0 0 0 0 1 0 1 0 0 0 0 1.884512159190394 0
54 0 0 0 0 1 0 1 0 0 0 0 3.531478917042255 0
55 1 0 0 0 0 0 0 0 0 1 0 -1.461237811218652 0
56 0 0 0 0 1 0 1 0 0 0 0 1.3494717992143856 0
57 0 0 0 0 1 0 1 0 0 0 0 1.5267268673146357 0
58 0 0 0 0 1 0 1 0 0 0 0 2.3354579006893843 0
59 0 0 0 0 1 0 1 0 0 0 0 0.4297522800024079 0
60 0 0 0 0 1 0 1 0 0 0 0 3.3010299956639813 0
61 0 0 0 0 1 0 1 0 0 0 0 3.176641017292667 0
62 1 0 0 0 0 0 0 0 0 1 0 0.17289469775217622 0
63 1 0 0 0 0 0 1 0 0 0 0 -1.8129589599576714 0
64 1 0 0 0 0 0 0 1 0 0 1 -0.7421534984088446 0
65 1 0 0 0 0 0 0 0 0 0 1 -0.5640919591408894 0
66 1 0 0 0 0 0 0 0 0 0 1 -0.8290638913909207 0
