id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other_nonliving mov_sessile mov_floating mov_walking log_mass mass_missing
0 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
1 1 0 0 0 1 0 0 0 0 -4.441291429466834 0
2 1 0 0 0 1 0 0 0 0 -3.843456905816203 0
3 1 0 0 0 0 0 0 0 1 -3.804775827103169 0
4 1 0 0 0 1 0 0 0 0 -3.964030231303453 0
5 1 0 0 0 0 0 0 0 1 -3.010743789108134 0
6 1 0 0 0 0 0 0 0 1 -3.4542439734663977 0
7 1 0 0 0 1 0 0 0 0 -3.742568635430121 0
8 1 0 0 0 0 0 0 0 1 -3.5227021680926254 0
9 1 0 0 0 0 0 0 0 1 -3.6415549662911406 0
10 1 0 0 0 1 0 0 0 0 -3.064807737077255 0
11 1 0 0 0 0 0 0 0 1 -3.7721364241106894 0
12 1 0 0 0 1 0 0 0 0 -3.8654563520978678 0
13 1 0 0 0 1 0 0 0 0 -3.6419527843166555 0
14 1 0 0 0 0 0 0 0 1 -4.482804102050026 0
15 1 0 0 0 0 0 0 0 1 -4.482804102050026 0
16 1 0 0 0 0 0 0 0 1 -4.482804102050026 0
17 1 0 0 0 0 0 0 0 1 -4.217527375833714 0
18 1 0 0 0 1 0 0 0 0 -3.5262736865045965 0
19 1 0 0 0 1 0 0 0 0 -3.4665876731759067 0
20 1 0 0 0 1 0 0 0 0 -3.3502767869534713 0
21 1 0 0 0 0 0 0 0 1 -2.746646242090541 0
22 1 0 0 0 0 0 0 0 1 -3.919395156199634 0
23 1 0 0 0 1 0 0 0 0 -3.6568140268564466 0
24 1 0 0 0 1 0 0 0 0 -3.682007661284132 0
25 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
26 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
27 1 0 0 0 0 0 0 0 1 -4.71669877129645 0
28 1 0 0 0 0 0 0 0 1 -3.3459467343609224 0
29 0 0 1 0 0 0 0 1 0 -9.31049320750499 1
30 0 0 0 1 1 0 0 0 0 2.6648299411430907 0
31 1 0 0 0 0 0 0 0 1 -1.4444087801696062 0
32 0 0 1 0 0 0 0 1 0 -9.018936819149399 1
33 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
34 1 0 0 0 0 0 0 0 1 -3.881976799528808 0
35 1 0 0 0 0 0 0 0 1 -3.4582847483336097 0
36 1 0 0 0 0 0 0 0 1 -3.438836578713255 0
37 1 0 0 0 1 0 0 0 0 -4.436518914605589 0
38 0 0 1 0 0 0 1 0 0 -4.71669877129645 1
39 0 0 1 0 0 0 0 1 0 -10.03905380426617 1
40 0 0 1 0 0 0 0 1 0 -7.96105281653477 1
41 1 0 0 0 1 0 0 0 0 -4.450996737974212 0
42 1 0 0 0 1 0 0 0 0 -4.450996737974212 0
43 0 0 1 0 0 0 0 1 0 -9.978810700930062 1
44 1 0 0 0 1 0 0 0 0 -3.1915661959481945 0
45 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
46 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
