,importance
KNN-out-D1,0.11384602288529477
KNN-out-D4,0.10506222567019441
KNN-in-D5,0.07972513556381662
KNN-out-D5,0.07118958377682859
KNN-out-D6,0.06664825791091898
KNN-out-D3,0.05403558114540386
DCIj,0.045775238669594306
KCIj,0.04435053379577144
KNN-out-D2,0.04283247514596748
CCIj,0.03833445660917717
KNN-in-D4,0.0358016828195812
EPA,0.02955630714250239
KNN-in-D1,0.02813854468077298
KNN-in-D3,0.02752966843105381
PRDj,0.024922399818938804
LRA-approx,0.016532272205522842
ANDIj,0.011420156975914452
KNN-in-D6,0.00996730493817316
log_mass_j,0.009874891773338033
LCj,0.009693325485910391
dot_product_num,0.009633168159143725
KNN-in-D2,0.008780358299059517
log_mass_i,0.00700333002054513
log_mass_ratio,0.006748689061758687
ECOi,0.006468990286279546
dLRA-approx,0.006196577107712075
ECIj,0.006126385643345627
trophic-j,0.0056024403674216445
ANDOj,0.004694097972243393
manhattan_num,0.0045961321225668665
DCOi,0.00427626538638129
dot_product,0.003770500086486062
manhattan,0.0034981541327709924
KCOi,0.0032608066634130825
cosine,0.003230351920667838
ANDOi,0.002993539103757292
euclidean,0.002974082638910932
ECN,0.002832674876795443
mass_missing_i,0.0027780552626358534
KCOj,0.0027603966104362216
LNTDj,0.0026352026499674628
euclidean_num,0.00234357071918725
ECIi,0.002207427168564453
EJC,0.0020241270256359453
met_ectotherm_vertebrate_j,0.001933727784092017
CCOi,0.0017890208506510439
KCIi,0.0017027153626559806
LNTDi,0.0016931535942125541
ELHN,0.00165715919368502
trophic-i,0.0014524700630473284
DSPBCj,0.0011116810841412912
met_detritus_i,0.0011059906383019313
CCOj,0.0010909069599489105
PPRD,0.00107262767274592
mLRA-approx,0.0009623519471876478
PRDi,0.0009270443424637383
met_ectotherm_vertebrate_i,0.0009130318762255178
met_primary_producer_j,0.0009092407818111813
ECN-score,0.0008815203911858885
ECOj,0.0008594272910442783
LCCDi,0.0008532332068773124
ERA,0.0007768600208821625
EAA,0.0006427840909555682
LCCDj,0.0005919666356966447
CCIi,0.0005790525097252629
mov_floating_i,0.000540152811104244
jaccard_attr,0.0004886652478974585
hamming,0.00048223775115013894
ANDIi,0.0004208679673697939
DCIi,0.0003882675799983119
DCOj,0.00034937768822789443
mov_other_nonliving_i,0.00033271795828566166
DSPBCi,0.0003008515134806125
LCi,0.00030035505309936896
mLRA,0.00015050813093937505
dLRA,6.86432705479131e-05
mov_floating_j,0.0
met_invertebrate_j,0.0
met_invertebrate_i,0.0
met_detritus_j,0.0
met_primary_producer_i,0.0
cosine_num,0.0
LRA,0.0
mov_swimming_i,0.0
DSP,0.0
mov_swimming_j,0.0
mov_other_nonliving_j,0.0
mass_missing_j,0.0
