,importance
KNN-out-D1,0.00804664723032067
KNN-in-D4,0.0010495626822156988
ELHN,0.0005830903790087216
manhattan,0.0004664723032069773
log_mass_ratio,0.00034985422740523297
EJC,0.0002915451895043608
mLRA-approx,0.00023323615160348866
EAA,0.00023323615160348866
jaccard_attr,0.00023323615160348866
KNN-in-D3,0.00017492711370261648
mov_floating_i,0.00017492711370261648
KNN-out-D2,0.00017492711370261648
KNN-in-D1,0.00017492711370261648
ECN-score,0.00017492711370261648
KNN-in-D5,0.00011661807580174433
dLRA-approx,5.8309037900872165e-05
met_ectotherm_vertebrate_i,5.8309037900872165e-05
LNTDj,5.8309037900872165e-05
KNN-in-D2,5.8309037900872165e-05
PPRD,5.8309037900872165e-05
mov_other_nonliving_i,0.0
LCCDi,0.0
met_ectotherm_vertebrate_j,0.0
met_detritus_i,0.0
met_detritus_j,0.0
met_invertebrate_i,0.0
met_invertebrate_j,0.0
met_primary_producer_i,0.0
mov_swimming_i,0.0
mov_swimming_j,0.0
ERA,0.0
mov_other_nonliving_j,0.0
mov_floating_j,0.0
mass_missing_i,0.0
mass_missing_j,0.0
cosine_num,0.0
hamming,0.0
ANDIi,0.0
DSP,0.0
LRA-approx,0.0
dLRA,0.0
LRA,0.0
LCi,0.0
DSPBCi,0.0
euclidean_num,-5.8309037900872165e-05
euclidean,-5.8309037900872165e-05
LNTDi,-5.8309037900872165e-05
DCIi,-5.8309037900872165e-05
trophic-i,-5.8309037900872165e-05
ECIi,-5.8309037900872165e-05
mLRA,-5.8309037900872165e-05
PRDi,-5.8309037900872165e-05
DSPBCj,-5.8309037900872165e-05
KCIi,-5.8309037900872165e-05
CCOj,-5.8309037900872165e-05
CCIi,-5.8309037900872165e-05
LCj,-0.00011661807580174433
DCIj,-0.00011661807580174433
DCOj,-0.00011661807580174433
ECOi,-0.00011661807580174433
CCOi,-0.00017492711370261648
KCOi,-0.00017492711370261648
LCCDj,-0.00017492711370261648
manhattan_num,-0.00017492711370261648
met_primary_producer_j,-0.00017492711370261648
ECIj,-0.00023323615160348866
ANDOi,-0.00023323615160348866
EPA,-0.00023323615160351086
cosine,-0.0002915451895043608
trophic-j,-0.0002915451895043608
ECN,-0.0002915451895043608
DCOi,-0.00034985422740523297
dot_product,-0.00034985422740523297
KCOj,-0.00034985422740523297
ANDOj,-0.0004081632653061051
KNN-in-D6,-0.0004081632653061051
ANDIj,-0.0005247813411078494
ECOj,-0.0005247813411078494
log_mass_i,-0.0005247813411078494
dot_product_num,-0.0006997084548105104
PRDj,-0.0007580174927114047
log_mass_j,-0.0007580174927114047
CCIj,-0.000874635568513149
KCIj,-0.0009912536443149155
KNN-out-D3,-0.0009912536443149155
KNN-out-D6,-0.004081632653061251
KNN-out-D5,-0.004373177842565634
KNN-out-D4,-0.006705539358600609
