id met_invertebrate met_primary_producer mov_walking mov_sessile mov_other mov_swimming log_mass
0 0 1 0 1 0 0 -3.642065152999546
1 1 0 1 0 0 0 -0.07257830494958131
2 1 0 0 0 0 1 -0.9480760839538935
3 1 0 1 0 0 0 -1.1475200063631434
4 1 0 1 0 0 0 0.03374533601397417
5 1 0 1 0 0 0 -0.770574152079305
6 1 0 1 0 0 0 -0.8716007312821936
7 1 0 1 0 0 0 -2.0
8 1 0 1 0 0 0 -0.540758335121918
9 0 1 0 1 0 0 -3.642065152999546
10 0 1 0 1 0 0 -3.6989700043360187
11 0 1 0 1 0 0 -3.642065152999546
12 1 0 1 0 0 0 -2.309803919971486
13 0 1 0 1 0 0 -3.642065152999546
14 0 1 0 0 1 0 -4.0
15 1 0 0 1 0 0 0.21777337740149544
16 1 0 0 0 0 1 -3.0
17 0 1 0 1 0 0 -3.642065152999546
18 1 0 1 0 0 0 -3.6989700043360187
