id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 0 1 0 0 0 -3.642065152999546
1 0 0 1 0 0 1 0 -0.6478174818886375
2 1 0 0 0 0 1 0 -2.9208187539523753
3 1 0 0 0 0 1 0 -2.0
4 0 0 1 0 0 1 0 -2.0
5 0 0 1 0 0 1 0 -0.9871627752948278
6 1 0 0 0 0 0 1 -3.6989700043360187
7 1 0 0 0 0 1 0 0.2944662261615929
8 0 0 1 0 0 1 0 0.7234556720351858
9 0 1 0 1 0 0 0 -3.642065152999546
10 0 1 0 1 0 0 0 -3.642065152999546
11 0 1 0 1 0 0 0 -3.642065152999546
12 1 0 0 0 0 0 1 -2.5528419686577806
13 1 0 0 0 0 0 1 -2.0
14 0 1 0 1 0 0 0 -3.642065152999546
15 0 1 0 0 1 0 0 -4.0
16 1 0 0 1 0 0 0 -2.0
17 1 0 0 0 0 1 0 -3.0
18 1 0 0 0 0 0 1 -3.0457574905606752
19 1 0 0 0 0 0 1 -2.221848749616356
20 0 1 0 1 0 0 0 -3.642065152999546
21 0 1 0 1 0 0 0 -3.642065152999546
