id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 1 0 0 0 1 0 0 -1.9469215565165803
1 1 0 0 0 1 0 0 -0.8827287043442356
2 0 1 0 1 0 0 0 -0.04191415147891488
3 0 1 0 1 0 0 0 -0.6143937264016878
4 0 1 0 1 0 0 0 -0.4710832997223453
5 1 0 0 1 0 0 0 -2.958607314841775
6 1 0 0 0 0 1 0 -0.5575202309355514
7 1 0 0 1 0 0 0 -0.9625735020593763
8 1 0 0 0 1 0 0 -3.0
9 0 0 1 0 0 1 0 -3.642065152999546
10 1 0 0 0 1 0 0 -2.1307682802690238
11 1 0 0 0 1 0 0 -0.3535962737769304
12 1 0 0 1 0 0 0 -3.301029995663981
13 1 0 0 0 1 0 0 -0.812479279163537
14 1 0 0 0 1 0 0 -0.3010299956639812
15 1 0 0 0 1 0 0 -3.3979400086720375
16 1 0 0 0 1 0 0 -0.3297541469258759
17 1 0 0 0 1 0 0 -2.619788758288394
18 1 0 0 0 1 0 0 0.25115134317535454
19 1 0 0 0 1 0 0 0.3242824552976926
20 1 0 0 0 1 0 0 0.8954225460394079
21 1 0 0 0 1 0 0 -2.4559319556497243
22 1 0 0 1 0 0 0 -3.3010299956639813
23 1 0 0 0 1 0 0 -2.6020599913279625
24 1 0 0 1 0 0 0 -3.0
25 0 0 1 0 0 1 0 -3.642065152999546
26 0 0 1 0 0 1 0 -3.642065152999546
27 1 0 0 0 1 0 0 -2.00436480540245
28 0 0 1 0 0 1 0 -3.642065152999546
29 0 0 1 0 0 1 0 -3.642065152999546
30 0 0 1 0 0 1 0 -3.642065152999546
31 1 0 0 0 0 1 0 -2.2006594505464183
32 1 0 0 0 0 1 0 -0.8181564120552275
33 1 0 0 0 1 0 0 -2.0
34 1 0 0 0 1 0 0 -2.0
35 0 0 1 0 0 0 1 -4.0
36 1 0 0 1 0 0 0 -3.0
37 0 0 1 0 0 1 0 -3.642065152999546
38 0 0 1 0 0 1 0 -3.642065152999546
