id met_invertebrate met_primary_producer mov_swimming mov_other mov_walking mov_sessile log_mass
0 0 1 0 0 0 1 -3.642065152999546
1 1 0 0 0 1 0 -2.0
2 1 0 1 0 0 0 -2.0
3 1 0 0 0 1 0 -2.0
4 1 0 0 0 1 0 -2.0
5 1 0 0 0 1 0 -2.0
6 1 0 0 0 1 0 0.06445798922691845
7 1 0 1 0 0 0 -2.0
8 1 0 0 0 1 0 1.0755469613925308
9 1 0 0 0 0 1 -1.3979400086720375
10 1 0 0 0 1 0 0.17897694729316943
11 1 0 0 0 1 0 -2.0
12 0 1 0 1 0 0 -4.0
13 1 0 1 0 0 0 -3.0
14 1 0 1 0 0 0 -3.0
15 1 0 0 0 1 0 -2.0
16 0 1 0 0 0 1 -3.642065152999546
17 1 0 0 0 0 1 0.9339931638312423
