id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_swimming mov_sessile mov_other log_mass
0 1 0 0 1 0 0 0 -1.6989700043360187
1 1 0 0 0 0 1 0 -2.0
2 1 0 0 1 0 0 0 -0.7798919119599448
3 0 1 0 0 1 0 0 -0.3187587626244127
4 0 1 0 0 1 0 0 -1.301029995663981
5 1 0 0 0 1 0 0 -3.5228787452803374
6 1 0 0 0 1 0 0 -3.0
7 1 0 0 0 0 1 0 -2.1307682802690238
8 1 0 0 1 0 0 0 -0.14874165128092473
9 1 0 0 1 0 0 0 0.22271647114758333
10 1 0 0 0 0 1 0 1.3153404766272883
11 0 0 1 0 0 1 0 -3.642065152999546
12 1 0 0 0 0 1 0 -0.4436974992327127
13 1 0 0 1 0 0 0 -2.5228787452803374
14 1 0 0 0 1 0 0 -3.3979400086720375
15 1 0 0 1 0 0 0 -0.6575773191777937
16 1 0 0 0 1 0 0 -1.9999999999999998
17 1 0 0 1 0 0 0 -0.8860566476931634
18 1 0 0 1 0 0 0 -2.0
19 1 0 0 1 0 0 0 -3.5228787452803374
20 1 0 0 1 0 0 0 -3.2218487496163566
21 1 0 0 1 0 0 0 -1.154901959985743
22 1 0 0 0 1 0 0 0.07554696139253089
23 1 0 0 1 0 0 0 -2.958607314841775
24 1 0 0 1 0 0 0 1.0425755124401905
25 1 0 0 1 0 0 0 0.07188200730612536
26 1 0 0 1 0 0 0 -2.0
27 1 0 0 1 0 0 0 -2.5228787452803374
28 1 0 0 1 0 0 0 -1.769551078621726
29 1 0 0 0 1 0 0 -2.0
30 1 0 0 1 0 0 0 -2.154901959985743
31 1 0 0 1 0 0 0 -2.0
32 1 0 0 0 0 1 0 -2.0
33 0 0 1 0 0 1 0 -3.642065152999546
34 1 0 0 0 0 1 0 -2.0
35 0 0 1 0 0 1 0 -3.642065152999546
36 0 0 1 0 0 1 0 -3.642065152999546
37 0 0 1 0 0 1 0 -3.642065152999546
38 0 0 1 0 0 1 0 -3.642065152999546
39 0 0 1 0 0 1 0 -3.642065152999546
40 0 0 1 0 0 1 0 -3.642065152999546
41 0 0 1 0 0 1 0 -3.642065152999546
42 1 0 0 1 0 0 0 -2.0
43 1 0 0 1 0 0 0 -1.9208187539523751
44 1 0 0 0 0 1 0 -0.46852108295774486
45 1 0 0 0 0 1 0 -2.221848749616356
46 1 0 0 0 0 1 1 -1.6989700043360187
47 1 0 0 1 0 0 0 -2.0
48 1 0 0 1 0 0 0 -3.154901959985743
49 0 0 1 0 0 0 1 -4.0
50 1 0 0 1 0 0 0 -2.6989700043360187
51 1 0 0 0 0 1 0 -2.958607314841775
52 1 0 0 0 1 0 0 -3.0
53 1 0 0 1 0 0 0 -2.318758762624413
54 0 0 1 0 0 1 0 -3.642065152999546
55 0 0 1 0 0 1 0 -3.642065152999546
56 0 0 1 0 0 1 0 -3.642065152999546
57 1 0 0 0 0 1 0 -2.0
