id met_invertebrate met_primary_producer mov_swimming mov_other mov_sessile mov_walking log_mass
0 1 0 0 0 1 0 -1.5228787452803376
1 1 0 0 0 0 1 -2.0
2 0 1 0 1 0 0 -4.0
3 1 0 1 0 0 0 -3.0
4 1 0 0 0 1 0 -1.6989700043360187
5 1 0 1 0 0 0 -3.0
6 1 0 0 0 0 1 -2.0
7 0 1 0 0 1 0 -3.642065152999546
8 1 0 1 0 0 0 -2.0
9 1 0 0 0 0 1 -2.0
10 1 0 0 0 0 1 -0.3979400086720376
11 1 0 0 0 0 1 -0.6777807052660807
12 1 0 1 0 0 0 -2.0
13 1 0 0 0 0 1 -1.5228787452803376
14 1 0 0 0 0 1 -2.0
15 1 0 1 0 0 0 -2.0
16 1 0 0 0 1 0 0.9513375187959177
17 1 0 0 0 0 1 -2.0
