,0
Bathyphantes setiger,species
Hypostenus latifrons,species
Bidessus unistriatus,species
Phlaeothripidae,family+
Typhlocybinae,family+
Homoptera,unclassified
Polyhydrus lineatus,species
Clubiona juvenis,species
Glossiphonia heteroclita,species
Sitticus caricis,species
Rana sp,genus
Caenis sp,genus
Anthocomus coccineus,species
Odacantha melanura,species
Sepedon sphegea,species
Paravespula vulgaris,species
Colymbetes fusca,species
Pteromicra leucopeza,species
Gerris sp,genus
Hahnia sp,genus
Anisus leucostoma,species
Asellus aquaticus,species
Cercyon sternalis,species
Elateridae,family+
Locustella naevia,species
Ensifera,unclassified
Lumbricidae,family+
Cerambycidae,family+
Insecta,family+
Hirudinea,unclassified
Agraecina striata,species
Lacerta agilis,species
Nestus ruralis,species
Nestus sp,genus
Chilocorus bipustulatus,species
Aphidina,unclassified
Cytilus sericeus,species
Dryops sp,genus
Libellula quadrimaculata,species
Dipogon sp,genus
Limnephilidae,family+
Aprostocetus sp,genus
Agriotes lineatus,species
Arctosa leopardus,species
Ischnura elegans,species
Evarcha arcuata,species
Sciocoris sp,genus
Herina germinationis,species
Otitinae,family+
Neoascia sp,genus
Cryptobium fracticorne,species
Lymnaea stagnalis,species
Coronella austriaca,species
Myllaena dubia,species
Hahniidae,family+
Erigone dentipalpis,species
Conocephalus discolor,species
Chorthippus sp,genus
Nestus mendicus,species
Chorthippus montanus,species
Staphylinus erythropterus,species
Trypoxylon clavicerum,species
Limonia sp,genus
Sciocoris cursitans,species
Procloeon bifidum,species
Micrommata virescens,species
Philaenus spumarius,species
Gnaphosidae,family+
Pterostichus strenuus,species
Pterostichus minor,species
Porcellium conspersum,species
Formica sp,genus
Trochosa spinipalpis,species
Clubiona phragmitis,species
Sympecma fusca,species
Agromyzidae,family+
Ozyptila sp,genus
Myllaena minuta,species
Pediobius sp,genus
Spanioconnus wetterhali,species
Limothrips denticornis,species
Dixella sp,genus
Vallonia pulchella,species
Armadillidium opacum,species
Porcellionidae,family+
Anotylus intricatus,species
Graptodytes granularis,species
Neon valentulus,species
Acupalpus flavicollis,species
Carabus granulatus,species
Thanatus striatus,species
Diapriidae,family+
Formica s.str. sp,unclassified
Armadillidium pictum,species
Stenodema calcaratum,species
Agrotis exclamationis,species
Thripomorpha paludicola,species
Cantharis rufa,species
Tabanus sp,genus
Ero sp,genus
Bryaxis bulbifer,species
Araneus sturmi,species
Athericidae,family+
Euaesthetus ruficapillus,species
Oxytelus sp,genus
Diptera,unclassified
Anelosimus vittatus,species
Porrhomma microphthalmum,species
Porrhomma oblitum,species
Tetrix subulata,species
Clubiona subtilis,species
Orthetrum cancellatum,species
Eucoilidae,family+
Pseudomopidae,family+
Stalia boops,species
Blennocampinae,family+
Dolichovespula sylvestris,species
Hebridae,family+
Acanthinula aculeata,species
Lutra lutra,species
Anguilla anguilla,species
Pholis gunnellus,species
Zoarces viviparus,species
Myoxocephalus scorpius,species
Salmo trutta,species
Phalacrocorax carbo,species
Pollachius virens,species
Ammodytes tobianus,species
Pomatoschistus microps,species
Platichthys flesus,species
Ardea cinerea,species
Carcinus maenas,species
Cygnus olor,species
Enteromorpha,species
Tadorna tadorna,species
Hydrobia ulvae,species
Ostracods,family+
Corophium volutator,species
Nereis diversicolor,species
Littorina littorea,species
Macoma balthica,species
Mytilus edulis,species
Cerastoderma edule,species
Acarina,family+
Anas penelope,species
Somateria mollissima,species
Crangon crangon,species
Somateria mollissima (juvenile),species
Gammarus spp.,species
Haematopus ostralegus,species
Charadrius hiaticula,species
Neomysis integer,species
Pluvialis apricaria,species
Pluvialis squatarola,species
Vanellus vanellus,species
Calidris alpina,species
Limosa lapponica,species
Numenius arquata,species
Tringa totanus,species
Arenicola marina,species
Littorina saxatilis,species
Chironomid larvae,family+
Arenaria interpres,species
Larus canus,species
Sprattus sprattus,species
Clupea harengus,species
Larus ridibundus,species
Larus argentatus,species
Larus marinus,species
Sterna Sandvicensis,species
Platichthys flesus (juvenile),species
Sterna hirundo,species
Sterna paradisaea,species
Corvus frugilegus,species
Corvus corone,species
Calanoid copepods,unclassified
Jaera marina,species
Syngnathus rostellatus,species
Harpacticoid copepods,unclassified
Semibalanus balanoides,species
Ciliata mustela,species
Pygospio elegans,species
Nematodes,unclassified
Capitellidae,family+
Foraminifera,unclassified
Pomatoschistus minutus,species
Hyale nilssoni,species
Tubificoides benedeni,species
Nototropis spp.,genus
Manayunkia aestuarina,species
Agonus cataphractus,species
Gasterosteus aculeatus,species
Pleuronectes platessa,species
Mya arenaria,species
Talitrus saltator,species
Bathyporeia pilosa,species
Idotea emarginata,species
Eurydice pulchra,species
Nereis virens,species
Hesionidae,family+
Parathemisto spp.,genus
Phyllodoce,genus
Eteone,genus
Aricia spp.,genus
Tubifex costatus,species
Alderia modesta,species
Retusa obtusa,species
Diptera larvae/pupae,unclassified
Diatoms,unclassified
Fucus ceranoides,species
POM (detritus),unclassified
Lithobius sp.,genus
Achipteria coleoptrata,species
Geophilus ribauti,species
Lithobius aeruginosus {m},species
Adoristes ovatus,species
Schendyla nemorensis,species
Adrastus sp. (juv),genus
Amaurobius sp. (juv),genus
Phalangiidae sp. (juv),family+
Robertus lividus,species
Allacma fusca,species
algae,unclassified
Campodea sp. {m},genus
Brachychthoniidae spp.,family+
Carabodes labyrinthicus,species
Sphaeridia pumilis,species
omnivorous nematodes,unclassified
Enchytraeidae,family+
Scutigerella immaculata {m},species
Atheta fungi,species
Atheta sp.,genus
Linyphiidae (juv),family+
Robertus sp. (juv) {m},genus
Lysigamasus lapponicus,species
Uroseius cylindricus,species
Uroseius cylindricus (juv),species
Veigaia nemorensis,species
Veigaia nemorensis (juv),species
Lysigamasus jugincola,species
Linyphiidae cf Erigoniinae (juv) {s},family+
Hahniidae sp. (juv),family+
Robertus lividus (juv) {m},species
Rhodacarus agrestis,species
Anthicidae sp.,family+
Allaiulus nitidus {xxl},species
Ceratophysella denticulata,species
amoebae,unclassified
Isotomiella minor,species
Megalothorax minimus,species
Parisotoma notabilis,species
Proisotoma minima,species
Willemia aspinata,species
Chamobates borealis,species
Pseudanurophorus binoculatus,species
predacious nematodes,unclassified
Malthodes sp. (juv),genus
Gyrohypnus sp. (juv),genus
Othius sp. (juv) {m},genus
Xantholinus sp. (juv) {m},genus
Xantholininae sp. (juv),family+
Micrargus herbigradus,species
Microneta viaria,species
Neobisium sp.,genus
Erigonella hiemalis,species
Robertus scoticus,species
Monocephalus fuscipes,species
Athous subfuscus (juv) {l},species
Staphylinidae spec,family+
Asthenargus paganus,species
Ceratinella brevis,species
Tenuiphantes tenuis,species
Athous zebei (juv) {s},species
bacteria,unclassified
Protaphorura armata,species
Nanhermannia nana,species
Protaphorura sp.,genus
Tachypodoiulus niger,species
bacterivorous nematodes,unclassified
flagellates,unclassified
ciliates,unclassified
Julidae sp.,family+
Trichoniscus pusillus {m},species
Mesaphorura sp.,species
Pergamasinae (juv) {xs},family+
Trachytes aegrota,species
Uropoda cassidea (juv),species
Dissorhina ornata,species
Oribatida sp. (juv),family+
Microppia minus,species
Nothrus silvestris,species
Oppiella falcata,species
Oppiella nova,species
Oppiella subpectinata,species
Suctobelbella sp.,genus
Cornodendrolaelaps cf cornutulus,species
Geholaspis mandibularis (juv.),species
Pachylaelaps cf. vexillifer,species
Mesaphorura macrochaeta,species
Trachytes aegrota (juv) {s},species
Chamobates voigtsi,species
Dalopius marginatus (juv) {m},species
Damaeobelba minutissima,species
Nargus anisotomoides,species
dead organic matter,unclassified
Phthiracarus borosetosus,species
Phthiracarus compressus,species
Phthiracarus longulus,species
Platynothrus peltifer,species
Quadroppia quadricarinata,species
saphrophytes,unclassified
Nanhermannia elegantula,species
Rhysotritia duplicata,species
Liacarus coracinus,species
Liacarus subterraneus,species
Quadroppia hammerae,species
Tectocepheus velatus velatus,species
Dicyrtomina ornata,species
Edwarzetes edwardsii,species
Elateridae sp1 (juv) {m},family+
Folsomia quadrioculata,species
Folsomia spinosa,species
fungivorous nematodes,unclassified
leaf litter,unclassified
mykorrhiza,unclassified
Trichoribates novus,species
plants,unclassified
Scolytidae sp.,family+
root exudates,unclassified
