,0
Gonatium rubens,species
Arrhopalites pygmaeus,species
Arion intermedicus,species
Amerus polonicus,species
Hypogastrura purpurescens,species
Willemia anophthalma,species
Dendrobaena pygmaea,species
Araneidae sp. (juv),family+
Lehmannia marginata,species
Pergamasinae (male),family+
Veigaia exigua (juv),species
Eniochthonius minutissimus,species
Trichoniscus pusillus {l},species
Philoscia muscorum,species
Metaphorura affinis,species
Paratullbergia callipygos,species
Trachytes aegrota (juv) {xs},species
Neotrichoppia confinis,species
Oppiella marginedentata,species
Suctobelba altvateri,species
Fosseremus laciniatus,species
Pseudosinella immaculata,species
Abax ovalis,species
Bythinus acutangulus,species
Callobius claustrarius,species
Araniella cucurbitina,species
Quedius sp. (juv),genus
Xantholinus laevigatus,species
Tenuiphantes tenebricola,species
Walckenaeria cuspidata,species
Trachelipus sp.,genus
Brachyderinae sp.,family+
Nargus wilkini,species
Trombidiidae,family+
Cepea hortensis,species
Calathus melanocephalus,species
Agriotes acuminatus (juv),species
Deuterosminthurus sp.,genus
Sminthurus viridis,species
Oniscidae sp. (juv),family+
Arianta arbustorum,species
Macrogastra ventricosa,species
Xysticus lanio,species
Aporrectodea caliginosa (juv) {xxxl},species
Domene scabricollis,species
Ballus chalybeius,species
Ballus chalybeius (juv),species
Centomerus sylvaticus,species
Dictyna latens,species
Protaphorura aurantiaca,species
Julidae sp. (juv) {l},family+
Micranurida cf sensillata,species
Metabelba pulverosa,species
Neelides minutus,species
Lithobius sp. (juv) {l},genus
Aleocharinae sp2,family+
Palliduphantes pallidus,species
Arionidae sp.,family+
Atheta myrmecobia,species
Armadillidium sp.,genus
Friesea truncata,species
Entomobrya sp.,genus
Folsomia fimetaria,species
Folsomia litsteri,species
Tomocerus vulgaris,species
Phalacridae sp.,family+
Anelasmocephalus cambridgei,species
Harpalus latus,species
Aporrectodea sp. (juv) {xl},genus
Apostenus fuscus,species
Histeridae sp.,family+
Urodiaspis tecta (juv),species
Porobelba spinosa,species
Glomeris marginata,species
Aporrectodea caliginosa (juv) {xxl},species
Pseudachorutes cf dubius,species
Pseudachorutes subcrassus,species
Lysigamasus puerilis,species
Scutigerella immaculata {xs},species
Azeca goodalli,species
Lumbricus rubellus (juv),species
Veigaia kochi (juv),species
Pachylaelaps longisetosus,species
Liebstadia similis,species
Oxytelus sp. (juv),genus
Walckenaeria corniculans,species
Pterostichus oblongopunctatus,species
Leioseius bicolor,species
Pachyseius angustus,species
Tomocerus minutus,species
Tropiphorus sp.,genus
Abax parallelus (juv),species
Neon reticulatus,species
Sminthurides sp.,genus
Ceratophysella gibbosa,species
Hypogastrura burkilli,species
Isotomurus palustris,species
Proisotoma minuta,species
Epicrius schusteri,species
Veigaia cf agilis (juv),species
Tritegeus bisulcatus,species
Cepea hortensis (juv),species
Pterostichus burmeisteri,species
Philonthus sp.,genus
Crychus caraboides,species
Amblyseius similifloridanus,species
Stilicus sp. (juv),genus
Neon reticulatus (juv),species
Hypoaspis aculeifer,species
Dendrobaena octaedra (juv),species
Cryphoeca sp. (juv),genus
Stenaphorura quadrispina,species
Glomeris undulata,species
Stenus sp.,genus
Pterostichinae sp.,family+
Euophrys herbigrada,species
Philodromus dispar,species
Leptacinus sp. (juv),genus
Geholaspis longispinosus (juv),species
Veigaia planicola (juv),species
Zercon cf peltatus,species
Friesea claviseta,species
Oppiella propinqua,species
Mesaphorura yosii,species
Paratullbergia macdougalli,species
Entomobrya quinquelineata,species
Eupelops torulosus,species
Microtritia minima,species
Cryptops hortensis,species
Carabodes subarcticus,species
Micreremus gracilior,species
Lumbricus rubellus (juv) {xl},species
Pergamasus norvegicus,species
Pergamasus quisquiliarum,species
Lycosidae sp. (juv),family+
Liocranidae sp. (juv),family+
Philodromidae sp. (juv),family+
Pachylaelaps sp. (juv),genus
Vulgarogamasus sp.,genus
Berniniella sigma,species
Oppiella acuminata,species
Cepheus cepheiformes,species
Euzetes globulus,species
Entomobrya corticalis,species
Trochosa sp. (juv),genus
Euryopis flavomaculata,species
Xysticus erraticus,species
Xysticus cristatus,species
Agriotinae sp1 (juv),family+
Gongylidiellum latebricola,species
Stenus impressus,species
Stenus mendicus,species
Microlestes minutulus,species
Zora spinimana (juv),species
Pachygnatha degeeri,species
Dicyrtoma fusca,species
Anthicus flavipes,species
Blaniulidae sp. (juv),family+
Proteroiulus fuscus,species
Pergalumna nervosa,species
Prozercon kochi,species
Pseudoparasitus placentulus,species
Pseudoparasitus placentulus (juv),species
Rhodacarellus cf kreuzi (juv),species
Tenebrionidae sp. (juv),family+
Lathrobium brunnipes,species
Mycetoporus sp.,genus
Pterostichus chamaeleon (juv),species
Haplodrassus silvstris,species
Xenylla grisea,species
Pergamasus sp. (juv) {s},genus
Eviphis sp. (juv),genus
Lysigamasus sp.,genus
Rhodacarus coronatus,species
Urodiaspis tecta,species
Ballistura cf. hankoi,species
Ceratophysella succinea,species
Platybunus sp.,genus
Phthiracarus affinis,species
Chamobates pusillus,species
Micreremus brevipes,species
Amblyseius cf. nemorivagus,species
Veigaia planicola,species
Bryoporus sp.,genus
Corrinidae sp. (juv),family+
Pamagaeus bipustulatus,species
Brachyiulus pusillus,species
Rhodacarus coronatus (juv),species
Pilogalumna crassiclava,species
Chamobates subglobulus,species
Abax parallelepipedus (juv),species
Lithobius erythrocephalus,species
Lithobius cyrt/mutabi,species
Agonum sexpunctatum (juv),species
Amaurobius fenestralis,species
Gnaphosidae sp. (juv),family+
Agroeca cf brunnea (juv),species
Anyphaena accentuata (juv),species
Elater ferrugineus (juv),species
Heterothops sp. (juv),genus
Tenuiphantes flavipes,species
Poecilus sp. (juv),genus
Leptusa sp.,genus
Lysigamasus cf runcatellus,species
Tenebrionidae sp.,family+
Folsomia brevicauda,species
Serica sp. (juv),genus
Scydmaenidae sp1 {xxl},family+
Geophilus truncorum,species
Lithobius forficatus,species
Lithobius forficatus (juv),species
Heterothops dissimilis (juv),species
Carabus nemoralis,species
Lysigamasus puerilis (juv),species
Macrocheles sp.,genus
Pachylaelaps bellicosus,species
Pachylaelaps cf. bellicosus (juv),species
Coccinella septempunctata,species
Macrocheles cf. opacus aciculatus,species
Lasioseius lawrencei,species
Microlestes sp.,genus
Conosoma testaceum,species
Mycetoporus mulsanti,species
Olophrum piceum,species
Stenus clavicornis,species
Stenus humilis,species
Ceratinella scabrosa,species
Polydesmus sp. (juv),genus
Polydesmus inconstans,species
Phytoseinae sp. (juv),family+
Liebstadia humerata,species
Dictynidae sp. (juv),family+
Leucoparyphus sp. (juv),genus
Leioseius elongatus,species
Lysigamasus runcatellus,species
Urodiaspis shcherbakae,species
Mesaphorura jarmiliae,species
Chrysomelidae sp. (juv),family+
Liodidae sp. {s},family+
Oodes helipioides,species
Tapinocyba praecox,species
Zercon cf peltatus (juv),species
Lithobius curtipes {s},species
Haplodrassus soerenseni,species
Cordalia sp. (juv),genus
Polydesmus complanatus (juv),species
Polydesmus angustus,species
Erotylidae sp.,family+
Clubiona pallidula,species
Lathrobium sp. (juv),genus
Megaphyllum projectum,species
Galumna tarsipennata,species
Rhodacarus sp.,genus
Trichouropoda ovalis,species
Damaeus auritus,species
Nargus sp.,genus
Ozyptila particola,species
Lithobius cf. mutabilis,species
Synuchus nivalis,species
Leptogamasus sp.,genus
Oxypoda sp.,genus
Dendrodrilus rubidus (juv),species
Polydesmus complanatus,species
Polyxenus lagurus,species
Macrocheles opacus,species
Leitneria granulata,species
Cossoninae sp.,family+
Xenillus tegeocranus,species
Entomobrya cf. multifasciata,species
Aglaophamus malmgreni,species
Lumbrineris,genus
Nereis zonata,species
Sipunculida,genus
Nephtys ciliata,species
Nereimyra punctata,species
Priapulus caudatus,species
Leitoscoloplos mammosus,species
Heteromastus filiformis,species
Levinsenia gracilis,species
Lysippe labiata,species
Pholoe assimilis,species
Philine,genus
Ampharete finmarchica,species
Sediment,unclassified
Phytodetritus,unclassified
Alle alle,species
Boreogadus saida,species
Thysanoessa inermis,species
Meganyctiphanes norvegica,species
Thysanoessa raschii,species
Thysanoessa longicaudata,species
Anarhichas lupus,species
Gadus morhua,species
Reinhardtius hippoglossoides,species
Hipoglossoides platessoides,species
Lycodes,genus
Sebastes mentella,species
Lumpenus lampretaeformis,species
Liparis liparis,species
Leptagonus decagonus,species
Anisarchus medius,species
Hyas araneus,species
Pandalus borealis,species
Pagurus pubescens,species
Sebastes marinus,species
Artediellus europeus,species
Liparis fabricii,species
Careproctus reinhardti,species
Eumicotremus derjugini,species
Mallotus villosus,species
Leptoclinus maculatus,species
Strongylocentrotus droebachiensis,species
Strongylocentrotus pallidus,species
Crossaster papposus,species
Buccinum scalariforme,species
Ophiura robusta,species
Buccinum terranovae,species
Ophiopholis aculeata,species
Henricia,genus
Ophiocten sericeum,species
Buccinum undatum,species
Anonyx nugax,species
Anonyx sarsi,species
Arctinula groenlandica,species
POM,unclassified
Arrhis phyllonyx,species
Astarte borealis,species
Astarte montagui,species
Axinopsida orbiculata,species
Balaenoptera acutorostrata,species
Balanus balanus,species
Beroe cucumis,species
Onacea borealis ,species
Metridia longa,species
Calanus finnmarchicus,species
Bradyidius similis,species
Microcalanus pusillus,species
Copepoda nauplii,species
Boreacola maltzani,species
Boremysis arctica,species
Boreocingula castanea,species
Pseudocalanus,species
Clione limacina,species
Calanus glacialis,species
Calanus hyperboreus,species
Metridia lucens,species
Oithona similis,species
Limacina helicina,species
Gaidius tenuispinus,species
Xanthocalanus,species
Boreomysis arctica,species
Boreotrophon truncatus,species
Fucus distichus,species
Laminaria digitata,species
Laminaria saccharina,species
Saccorhiza dermatodea,species
Brachydiastylis resima,species
Brada inhabilis,species
Brada villosa,species
Pleurosigma stuxbergii,species
Globigerinita bradyi,species
Cocconeis,unclassified
Thalassiosira nordenskioeldii,species
Globoquadriana pachyderma,species
Phaeocystis pouchetii,species
Globigerina quinqueloba,species
Thalassiosira antarctica,species
Chaetoceros,unclassified
Dinobryon balticum,species
Coccolithus pelagicus,species
Nitzschia frigida,species
Cylindrotheca closterium,species
Chaetoceros socialis,species
Fragilariopsis,unclassified
Navicula pelagica,species
Entomoneis,unclassified
Dinophysis acuta,species
Protoperidinium,unclassified
Gymnodinium,unclassified
Urticina eques,species
Palmaria palmata,species
Desmarestia viridis,species
Phycodrys rubens,species
Hormathia nodosa,species
Ptilota gunneri,species
Pylaiella littoralis,species
Devaleraea ramentacea,species
Alaria esculenta,species
Laminaria solidungula,species
Fimbrifolium dichotomum,species
Turnerella pennyi,species
Chordaria flagelliformis,species
Acrosiphonia,unclassified
Desmarestia aculeata,species
Bylgides elegans,species
Bylgides groenlandica,species
Fritillaria,genus
Calidris maritima,species
Capitella capitata,species
Caprella septentrionalis,species
Cepphus grylle,species
Chaetoderma,unclassified
Chaetozone,unclassified
Chone,unclassified
Ciliatocardium ciliatum,species
Circeis,unclassified
Corophium crassicorne,species
Cossura longocirrata,species
Harmothoe imbricata,species
Tonicella marmorea,species
Gattyana cirrhosa,species
Tonicella rubra,species
Thelepus cincinnatus,species
Terebellides stroemi,species
Halicryptus spinulosus,species
Glycera capitata,species
Scoletoma fragilis,species
Diplocirrus hirsutus,species
Euchone,unclassified
Diplodonta torelli,species
Polydora,genus
Prionospio cirrifera,species
Sabellides octocirrata,species
Samytha sexcirrata,species
Scoloplos armiger,species
Pycnogonida,family+
Spio,genus
Cylichna alba,species
Cylichna oculata,species
Dephinapterus leucas,species
Diastylis goodsiri,species
Diastylis lucifera,species
Diastylis rathkii,species
Elachisina globuloides,species
Ennucula tenuis,species
Erginus rubellus,species
Erignathus barbatus,species
Mya truncata,species
Nuculana minuta,species
Eryhtrops erythrophthalma,species
Eualus gaimardi,species
Littorina saxatilis ,species
Eumicrotremus derjugini,species
Sabinea septemcarinata,species
Lebbeus polaris,species
Euspira pallida,species
Frigidoalvania cruenta,species
Fulmarus glacialis,species
Raja clavata,unclassified
Gymnocanthus tricuspis,species
Spirontocaris spinus,species
Sclerocrangon boreas,species
Mertensia ovum,species
Stilomysis grandis,species
Paroediceros lynceus,species
Gammarus setosus,species
Pleustes panoplus,species
Themisto libellula,species
Mysis oculata,species
Parapleustes assimilis,species
Parapleustes monocuspis,species
Pleusymtes glabroides,species
Spirontocaris turgida,species
Melita palmata,species
Themisto abyssorum,species
Ischyroceros,genus
Gammarellus homari,species
Onisimus littoralis,species
Janira,genus
Melita dentata,species
Monoculodes borealis,species
Onisimus caricus,species
Onisimus edwardsi,species
Parapleustes bicuspis,species
Rhachotropis inflata,species
Halirages fulvocinctus,species
Pontoporeia femorata,species
Syrrhoe crenulata,species
Monoculodes longirostris,species
Melita formosa,species
Unciola leucopis,species
Munnopsis,genus
Orchomenella minuta,species
Munna,genus
Tanaidacea,family+
Ischyrocerus anguipes,species
Lamprops fuscatus,species
Weyprechtia pinguis,species
Neoscolecithrix farrani,species
Haliclona,genus
Halocynthia pyriformis,species
Styela rustica,species
Hiatella arctica,species
Brada inhabilisa,species
Yoldiella frigida,species
Yoldiella lenticula,species
Yoldiella solidula,species
Yoldia hyperborea,species
Larus hyperboreus,species
Lepeta caeca,species
Liocyma fluctuosa,species
Serripes groenlandicus,species
Musculus discors,species
Thracia myopsis,species
Macoma moesta,species
Musculus corrugatus,species
Pandora glacialis,species
Macoma calcarea,species
Lyonsia arenosa,species
Nuculana pernula,species
Thyasira gouldi,species
Thyasira dunbari,species
Margarites groenlandicus,species
Margarites helicinus,species
Menestho albula,species
Menestho truncatula,species
Odobenus rosmarus,species
Oenopota impressa,species
Phoca vitulina,species
Puncturella noachina,species
Pusa hispida,species
Solariella varicosa,species
Rissa tridactyla,species
Trophon clathratus,species
Ursus maritimus,species
Ictalurus nebulosus,species
benthic detritus,unclassified
Ophryoxus gracilis,species
fish fry,unclassified
Alona affinis,species
Chydorus bicornutus,species
Chydorus sphaericus,species
fish eggs,unclassified
Diaptomus minutus,species
Oocyctis sp.,genus
Keratella taurocephala,species
Cryptomonas ovata,species
Kelicottia bostoniensis,species
Holopedium gibberum,species
Mallomonas sp.,genus
Polyarthra remata,species
Ascomorpha ecaudis,species
Conochiloides unicornis,species
Lecane sp.,genus
Ploesoma truncatum,species
Dinobryon sertularia,species
Dinobryon sp.,genus
Polyarthra vulgaris,species
Chrysocapsa planktonica,species
Trichocerca similis,species
Gastropus stylifer,species
Polyarthra major,species
Schroederia setigera,species
Trichocerca multicrinis,species
Pediastrum tetras,species
Bosmina longirostris,species
Keratella crassa,species
Cosmarium sp.,genus
Ploesoma hudsoni,species
Arthrodesmus incus,species
Arthrodesmus subulatus,species
Scenedesmus dimorphus,species
Scenedesmus quadricauda,species
Scenedesmus sp.,genus
Ceriodaphnia quadrangula,species
Keriphyron sp.,genus
Merismopedia punctata,species
Diaphanosoma birgei,species
Aphanocapsa sp.,genus
copepod nauplii,unclassified
Tropocyclops prasinus,species
Cyclops vernalis,species
Epishura lacustris,species
Salvelinus fontinalis,species
Notemigonus crysoleucas,species
Asplanchna sp.,genus
Peridinium inconspicuum,species
Peridinium limbatum,species
Peridinium wisconsinense,species
Synura uvella,species
Uroglenopsis americana,species
Ilyocryptus spinifer,species
Chrosomus eos,species
Acantholeberis curvirostris,species
Catostomus commersoni,species
Semotilus atromaculatus,species
Daphnia catawba,species
Micrasterias sp.,genus
Daphnia pulex,species
Cryptomonas erosa,species
Lyngbya sp.,genus
Tabellaria fenestrata,species
Euastrum sp.,genus
Melosira sp.,genus
Sphaerocystis schroeteri,species
Navicula sp.,genus
Tetraedron minimum,species
Nitzschia sp.,genus
Mallomonas akrokomos,species
Monostyla lunaris,species
Euchlanis sp.,genus
Cyclotella glomerata,species
Closterium sp.,genus
Ankistrodesmus sp.,genus
Ankistrodesmus spiralis,species
Merismopedia tenuissima,species
Beauchampiella eudactylota,species
Chroococcus limneticus,species
Mesocyclops edax,species
Ceratium carolinianum,species
Lepomis gibbosus,species
Kelicottia longispina,species
Gymnodinium palustre,species
Trichocerca cylindrica,species
Dinobryon bavaricum,species
Quadrigula closterioides,species
Tetraedron caudatum,species
Conochiloides dossuarius,species
Kirchneriella lunaris,species
Elakatrothrix gelatinosa,species
Scenedesmus longus,species
Aphanothece sp.,genus
Crucigenia tetrapaedia,species
Rhabdoderma lineare,species
Coelosphaerium sp.,genus
Botryococcus braunii,species
Ankistrodesmus falcatus,species
Leptodora kindtii,species
Salmo rutta,species
Daphnia longiremis,species
Keratella cochlearis,species
Keratella testudo,species
Staurastrum sp.,genus
Quadrigula sp.,genus
Spondylosium planum,species
Chrysosphaerella longispina,species
Dictyosphaerium pulchellum,species
Polyarthra euryptera,species
Crucigenia quadrata,species
Synchaeta sp.,genus
Colletheca mutabilis,species
Salvelinus fontinalis small,species
Salvelinus namaycush,species
Salvelinus fontinalis large,species
Umbra limi,species
Alona costata,species
Asterionella formosa,species
Trichocerca pusilla,species
Paracyclops sp.,genus
Daphnia dubia,species
Daphnia retrocurva,species
Rhizosolenia eriensis,species
Cyclotella sp.,genus
Crucigenia crucifera,species
Crucigenia rectangularis,species
Anacystis incerta,species
Luxilus cornutus,species
nanoflagellates ,unclassified
Trichotria tetractis,species
Diaptomus leptopus,species
Xanthidium sp.,genus
Alona quadrangularis,species
Cocconeia sp.,genus
Fragilaria sp.,genus
Nephrocytium sp.,genus
Anabaena sp.,genus
Perca flavescens,species
Coelastrum sp.,genus
Gyrosigma sp.,genus
Conochiloides hippocrepis,species
Diceras sp.,genus
Chroococcus sp.,genus
Catostomus catostomus,species
Ambloplites rupestris,species
Diaptomus sicilis,species
Keratella serrulata,species
Coelastrum cambricum,species
Daphnia ambigua,species
Daphnia parvula,species
Eucyclops agilis,species
Pimephales notatus,species
Daphnia galeata,species
Fragilaria crotonensis,species
Tabellaria flocculosa,species
Rhabdoderma sp.,genus
Fundulus diaphanus,species
Peridinium cinctum,species
Euglena sp.,genus
Cyclops scutifer,species
Cyclops bicuspidatus,species
Polyphemus pediculus,species
Zygnema sp.,genus
Sida crystallina,species
Acroperus harpae,species
Alona rectangula,species
Dinobryon divergens,species
Gomphonema sp.,genus
Xanthidium armatum,species
Desmidium sp.,genus
Fragilaria intermedia,species
Halotheca sp.,genus
Staurastrum megacanthum,species
Arthrodesmus octocornis,species
Scenedesmus serratus,species
Synura sp.,genus
Synedra nana,species
Gastropus hyptopus,species
Carteria sp.,genus
Tetraedrom sp.,genus
Microsystis sp.,genus
Prosopium cylindraceum,species
Coregonus clupeaformis,species
Coelosphaerium pallidum,species
Anabaena flos-aquae,species
Micropterus salmoides,species
Micropterus dolomieui,species
Coregonus artedii,species
Semotilus corporalis,species
Osmerus mordax,species
Rhinichthys atratulus,species
Pleurosigma sp.,genus
Oncorhynchus mykiss,species
Chlamydomonas sp.,species
Eucentrum sp.,unclassified
Lepadella cristata,species
Euchlanis calpidia,species
Euglena acus,species
Pimephales promelas,species
Synedra ulna,species
Euchlanis triquetra,species
Diatoma sp.,genus
Scenedesmus arcuatus,species
Lecane mira,species
Rhabdoderma gorksii,species
Trichocerca porcellus,species
Lepadella triptera,species
Bodo saltans,species
Amphidinium hadai,species
Gyrodinium lachryama,species
Parvicorbucula socialis,species
Actinocyclus actinochilus,species
Actinocyclus spiritus,species
Actinocyclus utricularis,species
Azpeitia tabularis,species
Banquisia belgicae,species
Chaetoceros bulbosum ,species
Chaetoceros concavicornis,species
Chaetoceros criophilum,species
Chaetoceros dichaeta,species
Chaetoceros flexuosum,species
Chaetoceros neglectum,species
Chaetoceros pelagicus,species
Corethron criophilum,species
Coscinodiscus oculoides,species
Eucampia antarctica,species
Fragilariopsis curta,species
Fragilariopsis cylindrus,species
Fragilariopsis kerguelensis,species
Fragilariopsis linearis,species
Fragilariopsis nana,species
Fragilariopsis obliquecostata,species
Fragilariopsis pseudonana,species
Fragilariopsis rhombica,species
Fragilariopsis ritscheri,species
Fragilariopsis separanda,species
Fragilariopsis sublinearis,species
Fragilariopsis vanheurckii,species
Manguinea fusiformis,species
Manguinea rigida,species
Navicula glaciei,species
Navicula schefterae,species
Nitzschia kerguelensis,species
Nitzschia lecointei,species
Nitzschia neglecta,species
Odontella weissflogii,species
Porosira glacialis,species
Porosira pseudodenticulata,species
Proboscia alata,species
Proboscia inermi,species
Proboscia truncata,species
Pseudo-Nitzschia heimii,species
Pseudo-Nitzschia liniola,species
Pseudo-Nitzschia prolongatoides,species
Pseudo-Nitzschia subcurvata,species
Rhizosolenia antennata,species
Stellarima microtrias,species
Thalassiosira australis,species
Thalassiosira frenguelliopsis,species
Thalassiosira gracilis,species
Thalassiosira gracilis expecta,species
Thalassiosira gravida,species
Thalassiosira lentiginosa,species
Thalassiosira ritscheri,species
Thalassiosira trifulta,species
Thalassiosira tumida,species
Trichotoxon reinboldii,species
Cassidulinoides parkerianus,species
Cibicides refulgens,species
Globocassidulina crassa,species
Lenticulina antarctica,species
Neogloboquadriana pachyderma,species
Euphausia crystallorophias,species
Dictyocha speculum,species
Phaeocystis antarctica ,species
Silicioflagellata,unclassified
Euphausia frigida,species
Rhincalanus gigas,species
Calanus propinquus,species
Calanoides acutus,species
Metridia gerlachei,species
Paraeuchaeta antarctica,species
Clione antarctica,species
Clio pyramidata,species
Limacina helicina antarctica,species
Thysanoessa macrura,species
Rhodalia miranda,species
Atolla wyvillei,species
Dimophyes arctica,species
Diphyes antarctica,species
Bargmannia,genus
Euphausia superba,species
Ampelisca richardsoni,species
Abyssorchomene rossi,species
Pelagobia longicirrata,species
Rhynchonereella bongraini,species
Laetmonice producta,species
Harmothoe spinosa,species
Harmothoe crosetensis,species
Harmotoe hartmanae,species
Polyeunoa laevis,species
Barrukia cristata,species
Eulagisca gigantea,species
Eunoe spica,species
Eunoe hartmanae,species
Eunoe spica spicoides,species
Vanadis antarctica,species
Pista spinifera,species
Phyllocomus crocea,species
Terebella ehlersi,species
Eucranta mollis,species
Cinachyra antarctica,species
Cinachyra barbata,species
Bathydorus spinosus,species
Iophon radiatus,species
Kirkpatrickia variolosa,species
Rossella racovitzae,species
Stylocordyla borealis,species
Homaxinella balfourensis,species
Scolymastra joubini,species
Latrunculia apicalis,species
Latrunculia brevis,species
Tetilla leptoderma,species
Haliclona dancoi,species
Mycale acerata,species
Rossella antarctica,species
Rossella tarenja,species
Haliclona tenella,species
Clathria pauper,species
Calyx arcuarius,species
Isodyctia toxophila,species
Isodyctia cavicornuta,species
Isodyctia steifera,species
Axociella nidificata,species
Rossella nuda,species
Tentorium papillatum,species
Tentorium semisuberites ,species
Tedania oxeata,species
Tedania tantulata,species
Tedania vanhoeffeni,species
Phorbas areolatus,species
Phorbas glaberrima,species
Polymastia invaginata,species
Polymastia isidis,species
Anoxycalyx joubini,species
Abyssorchomene plebs,species
Abyssorchomene nodimanus,species
Mesothuria lactea,species
Achlyonice violaecuspidata,species
Bathyplotes gourdoni,species
Bathyplotes bongraini,species
Scotoplanes globosa,species
Molpadia musculus,species
Ypsilocucumis turricata,species
Psolidium incertum,species
Trachythyone parva,species
Laetmogone wyvillethompsoni,species
Pseudostichopus mollis,species
Pseudostichopus villosus,species
Elpidia glacialis,species
Chiridota weddellensis,species
Ekmocucumis steineni,species
Ekmocucumis turqueti,species
Abyssocucumis liouvillei,species
Psolus dubiosus,species
Psolus charcoti,species
Psolus antarcticus,species
Echinopsolus acanthocola,species
Ekmocucumis turqueti turqueti,species
Taeniogyrus contortus,species
Pareledone charcoti,species
Pareledone antarctica,species
Artedidraco orianae,species
Artedidraco loennbergi,species
Artedidraco skottsbergi,species
Dolloidraco longedorsalis,species
Pogonophryne marmorata,species
Pogonophryne phyllopogon,species
Pogonophryne permitini,species
Pogonophryne scotti,species
Pogonophryne barsukovi,species
Cygnodraco mawsoni,species
Gerlachea australis,species
Gymnodraco acuticeps,species
Prionodraco evansii,species
Racovitzia glacialis,species
Chaenodraco wilsoni,species
Chionodraco hamatus,species
Chionodraco myersi,species
Cryodraco antarcticus,species
Dacodraco hunteri,species
Pagetopsis maculatus,species
Aethotaxis mitopteryx,species
Dissostichus mawsoni,species
Trematomus eulepidotus,species
Trematomus lepidorhinus,species
Trematomus loennbergii,species
Trematomus nicolai,species
Trematomus pennellii,species
Trematomus scotti,species
Pleuragramma antarcticum,species
Notothenia marmorata,species
Notothenia coriiceps,species
Trematomus bernacchii,species
Trematomus hansoni,species
Macrourus holotrachys,species
Macrourus whitsoni,species
Electrona antarctica,species
Harpagifer antarcticus,species
Bathylagus antarcticus,species
Notolepis coatsi,species
Gymnoscopelus braueri,species
Gymnoscopelus opisthopterus,species
Gymnoscopelus nicholsi,species
Protomyctophum bolini,species
Pagetopsis macropterus,species
Muraenolepis marmoratus,species
Muraenolepis microps,species
Eusirus antarcticus,species
Eusirus perdentatus,species
Alexandrella mixta,species
Tryphosella murrayi,species
Waldeckia obesa,species
Parschisturella ceruviata,species
Paramoera walkeri,species
Epimeriella walkeri,species
Cyllopus lucasii,species
Hyperiella dilatata,species
Vibilia antarctica,species
Vibilia stebbingi,species
Hyperia macrocephala,species
Epimeria similis,species
Epimeria robusta,species
Epimeria macrodonta,species
Epimeria rubrieques,species
Epimeria georgiana,species
Melphidippa antarctica,species
Oediceroides emarginatus,species
Oediceroides calmani,species
Maxilliphimedia longipes,species
Gnathiphimedia mandibularis,species
Echiniphimedia hodgsoni,species
Iphimediella  cyclogena,species
Paraceradocus gibber,species
Liljeborgia georgiana,species
Momoculodes scabriculosus,species
Uristes gigas,species
Eurythenes gryllus,species
Bathypanoploea schellenbergi,species
Pseudorchomene coatsi,species
Heterophoxus videns,species
Haplocheira plumosa,species
Oradarea edentata,species
Djerboa furcipes,species
Rhachotropis antarctica,species
Themisto gaudichaudii,species
Primno macropa,species
Ophioperla koehleri,species
Ophionotus victoriae,species
Ophioceres incipiens,species
Ophiurolepis brevirima,species
Ophiurolepis gelida,species
Ophiosparte gigas,species
Ophioperla ludwigi,species
Ophiacantha antarctica,species
Astrotoma agassizii,species
Astrochlamys bruneus,species
Gorgonocephalus chiliensis,species
Eucopia australis,species
Euchaetomera antarcticus,species
Antarctomysis maxima,species
Ceratoserolis meridionalis,species
Frontoserolis bouvieri,species
Natatolana obtusata,species
Natatolana oculata,species
Natatolana meridionalis,species
Munna globicauda,species
Serolella bouveri,species
Serolis polita,species
Gnathia calva,species
Austrosignum grande,species
Aega antarctica,species
Arcturidae,family+
Silicularia rosea,species
Tubularia ralphii,species
Oswaldella antarctica,species
Monocaulus parvula,species
Primnoisis antarctica,species
Gersemia antarctica,species
Clavularia frankiliana,species
Primnoella,genus
Ainigmaptilon antarcticus,species
Armadillogorgia cyathella,species
Alcyonium antarcticum,species
Anthomastus bathyproctus,species
Conchoecia hettacra,species
Alacia hettacra,species
Alacia belgicae,species
Metaconchoecia isocheira,species
Boroecia antipoda,species
Conchoecia antipoda,species
Eukrohnia hamata,species
Solmundella bitentaculata,species
Dipulmaris antarctica,species
Desmonema glaciale,species
Periphylla periphylla,species
Salpa thompsoni,species
Pentanymphon antarcticum,species
Ammothea carolinensis,species
Colossendeis scotti,species
Nymphon gracillimum,species
Flustra angusta,species
Camptoplites tricornis,species
Nematoflustra flagellata,species
Austroflustra vulgaris,species
Melicerita obliqua,species
Systenopora contracta,species
Flustra antarctica,species
Fasciculiporoides ramosa,species
Reteporella hippocrepis,species
Lageneschara lyrulata,species
Isoschizoporella tricuspis,species
Caulastraea curvata,species
Chondriovelum adeliense,species
Bostrychopora dentata,species
Liothyrella uva,species
Magellania joubini,species
Magellania fragilis,species
Crania lecointei,species
Compsothyris racovitzae,species
Liothyrella uva antarctica,species
Glyptonotus antarcticus,species
Nototanais antarcticus,species
Peraeospinosus pushkini,species
Nototanais dimorphus,species
Notocrangon antarcticus,species
Notaeolidia gigas,species
Austrodoris kerguelenensis,species
Trophon longstaffi,species
Tritonia antarctica,species
Aegires albus,species
Bathydoris clavigera,species
Tritoniella belli,species
