,food.web,eco.type,node,genus,taxonomy.level,mov.type,met.type,new.mass,species.other,genus.other,met.mov.same,met.same,mov.same,met.other,mov.other
17,HEW02,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.04240067975221239,0,0,1,0,0,0,0
18,HEW03,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.019806524618181817,0,0,1,0,0,0,0
19,HEW04,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.03749825014563106,0,0,1,0,0,0,0
20,HEW05,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.029981647109677424,0,0,1,0,0,0,0
21,HEW06,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.052466681813953496,0,0,1,0,0,0,0
22,HEW10,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.04348757467948718,0,0,1,0,0,0,0
23,HEW11,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.09186284179831934,0,0,1,0,0,0,0
24,HEW12,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.012690721876923078,0,0,1,0,0,0,0
25,HEW13,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.04846486135877861,0,0,1,0,0,0,0
26,HEW16,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.0742011934957983,0,0,1,0,0,0,0
27,HEW17,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.058243663992063495,0,0,1,0,0,0,0
28,HEW21,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.0421975747368421,0,0,1,0,0,0,0
29,HEW22,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.07495633237096774,0,0,1,0,0,0,0
30,HEW36,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.034519428374149654,0,0,1,0,0,0,0
31,HEW47,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.021454234637037037,0,0,1,0,0,0,0
32,SEW01,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.006918799296703299,0,0,1,0,0,0,0
33,SEW02,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.0095469354625,0,0,1,0,0,0,0
34,SEW03,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.010438587981651376,0,0,1,0,0,0,0
35,SEW04,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.016931146392523366,0,0,1,0,0,0,0
36,SEW05,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.015064548499999999,0,0,1,0,0,0,0
37,SEW06,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.007531387736842105,0,0,1,0,0,0,0
38,SEW07,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.016873663529411765,0,0,1,0,0,0,0
39,SEW08,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.03198670045714286,0,0,1,0,0,0,0
40,SEW09,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.009049878197368423,0,0,1,0,0,0,0
41,SEW18,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.007711754845454546,0,0,1,0,0,0,0
42,SEW35,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.018647944454545453,0,0,1,0,0,0,0
43,SEW36,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.017939383855263155,0,0,1,0,0,0,0
44,SEW37,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.03348845585714286,0,0,1,0,0,0,0
45,SEW41,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.009856793342857141,0,0,1,0,0,0,0
46,SEW43,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.009732744457943924,0,0,1,0,0,0,0
47,SEW48,terrestrial belowground,Enchytraeidae,Enchytraeidae,family+,walking,invertebrate,0.007593866485714286,0,0,1,0,0,0,0
48,Chilean Intertidal Curaumilla,marine,adenocystis utricularis,adenocystis,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
49,Chilean Intertidal Curaumilla,marine,ahnfeltiopsis spp.,ahnfeltiopsis,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
50,Chilean Intertidal Curaumilla,marine,bryopsis_spp,bryopsis_spp,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
51,Chilean Intertidal Curaumilla,marine,centroceras spp.,centroceras,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
52,Chilean Intertidal Curaumilla,marine,ceramium spp.,ceramium,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
53,Chilean Intertidal Curaumilla,marine,chaetomorpha_spp,chaetomorpha_spp,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
54,Chilean Intertidal Curaumilla,marine,chondrus  canaliculatus,chondrus,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
55,Chilean Intertidal Curaumilla,marine,cladophora spp.,cladophora,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
56,Chilean Intertidal Curaumilla,marine,codium dimorpha,codium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
57,Chilean Intertidal Curaumilla,marine,colpomenia phaeodactyla,colpomenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
58,Chilean Intertidal Curaumilla,marine,colpomenia sinuosa,colpomenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
59,Chilean Intertidal Curaumilla,marine,corallina offcinalis var. chilensis,corallina,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
60,Chilean Intertidal Curaumilla,marine,durvillaea antarctica,durvillaea,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
61,Chilean Intertidal Curaumilla,marine,ectocarpus silicosus,ectocarpus,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
62,Chilean Intertidal Curaumilla,marine,enteromorpha compressa,enteromorpha,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
63,Chilean Intertidal Curaumilla,marine,gelidium rex,gelidium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
