,importance
KNN-out-D6,0.01078717201166186
KNN-out-D4,0.003731778425655996
KNN-out-D1,0.00034985422740523297
dLRA,0.0002915451895043608
ECN,0.0002915451895043608
KCOi,0.0002915451895043608
ERA,0.0002915451895043608
log_mass_ratio,0.00023323615160348866
manhattan,0.00017492711370261648
manhattan_num,0.00017492711370261648
KNN-in-D5,0.00017492711370261648
euclidean_num,5.8309037900872165e-05
met_invertebrate_i,5.8309037900872165e-05
DCOj,5.8309037900872165e-05
log_mass_i,5.8309037900872165e-05
EAA,0.0
KNN-out-D5,0.0
ECN-score,0.0
LCCDj,0.0
met_detritus_i,0.0
met_detritus_j,0.0
mov_other_nonliving_i,0.0
met_invertebrate_j,0.0
met_primary_producer_j,0.0
mov_swimming_i,0.0
mov_swimming_j,0.0
mov_other_nonliving_j,0.0
mov_floating_i,0.0
mov_floating_j,0.0
mass_missing_j,0.0
cosine_num,0.0
dot_product_num,0.0
jaccard_attr,0.0
KNN-in-D3,0.0
KCOj,0.0
LNTDi,0.0
EJC,0.0
DCOi,0.0
ANDIi,0.0
mLRA,0.0
LRA,0.0
ECIi,0.0
LCi,0.0
DSPBCj,0.0
KCIi,0.0
DCIi,0.0
DSP,0.0
CCIi,0.0
PPRD,0.0
CCOi,0.0
CCOj,0.0
trophic-i,0.0
hamming,-5.8309037900872165e-05
cosine,-5.8309037900872165e-05
met_primary_producer_i,-5.8309037900872165e-05
mass_missing_i,-5.8309037900872165e-05
PRDi,-5.8309037900872165e-05
dot_product,-0.00011661807580174433
KNN-out-D2,-0.00011661807580174433
LCCDi,-0.00011661807580174433
KNN-in-D1,-0.00017492711370261648
euclidean,-0.00017492711370261648
mLRA-approx,-0.00017492711370261648
ECOi,-0.00017492711370261648
met_ectotherm_vertebrate_i,-0.00017492711370261648
KNN-in-D6,-0.00023323615160348866
DSPBCi,-0.0002915451895043608
LCj,-0.0002915451895043608
LRA-approx,-0.00034985422740523297
LNTDj,-0.00034985422740523297
trophic-j,-0.0004081632653061051
ANDOi,-0.0004081632653061051
ELHN,-0.0004081632653061051
met_ectotherm_vertebrate_j,-0.0004081632653061051
KNN-in-D4,-0.0005247813411078494
dLRA-approx,-0.0005247813411078494
ANDOj,-0.0005247813411078494
ECOj,-0.0005830903790087216
KNN-in-D2,-0.0005830903790087216
EPA,-0.0005830903790087216
KCIj,-0.0006997084548104659
ECIj,-0.0007580174927113381
log_mass_j,-0.0007580174927113381
ANDIj,-0.0008746355685130824
PRDj,-0.0009912536443148269
CCIj,-0.001341107871720082
DCIj,-0.0018075801749270815
KNN-out-D3,-0.0018075801749270815
