id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate met_primary_producer met_detritus mov_flying mov_walking mov_other mov_swimming mov_sessile mov_other_nonliving log_mass mass_missing
40 0 0 1 0 0 0 0 0 1 0 0 0.4137383258805972 0
41 1 0 0 0 0 1 0 0 0 0 0 2.3820170425748683 0
42 1 0 0 0 0 1 0 0 0 0 0 2.1690863574870227 0
43 1 0 0 0 0 1 0 0 0 0 0 2.6015167836500104 0
44 1 0 0 0 0 1 0 0 0 0 0 2.8680563618230415 0
45 1 0 0 0 0 1 0 0 0 0 0 2.681241237375587 0
46 1 0 0 0 0 1 0 0 0 0 0 2.7147487607250596 0
47 1 0 0 0 0 1 0 0 0 0 0 2.32479671762173 0
48 1 0 0 0 0 1 0 0 0 0 0 2.8165726960261033 0
49 0 0 1 0 0 0 0 0 1 0 0 3.1189107157382616 0
50 0 1 0 0 0 0 0 1 0 0 0 -1.5593626567040497 0
51 0 1 0 0 0 0 0 0 1 1 0 0.74910608386101 0
52 0 1 0 0 0 0 0 0 1 1 0 -2.5798273609559788 0
53 0 1 0 0 0 0 0 0 1 1 0 1.1885405962658824 0
54 0 1 0 0 0 0 0 0 1 1 0 0.754482149336223 0
55 0 1 0 0 0 0 0 0 1 1 0 1.2397007758626621 0
56 0 1 0 0 0 0 0 0 1 1 0 0.9165210478505845 0
57 1 0 0 0 0 1 0 0 0 0 0 1.7113853790984517 0
58 1 0 0 0 0 1 0 0 0 0 0 1.320146286111054 0
59 0 1 0 0 0 0 0 0 1 1 0 -2.7066354490285947 0
60 0 1 0 0 0 0 1 0 0 0 0 -2.7147218092458085 0
61 1 0 0 0 0 1 0 0 0 0 0 1.67163559660213 0
62 1 0 0 0 0 1 0 0 0 0 0 2.5652573434202135 0
63 0 1 0 0 0 0 0 1 0 0 0 -2.7898367086509364 0
64 1 0 0 0 0 1 0 0 0 0 0 2.3531465462139796 0
65 0 1 0 0 0 0 0 0 1 0 0 0.913505717087949 0
66 0 1 0 0 0 0 0 1 0 0 0 -1.7042474856696237 0
67 0 1 0 0 0 0 1 0 0 0 0 0.08412205083254577 0
68 1 0 0 0 0 1 0 0 0 0 0 2.9777236052888476 0
69 1 0 0 0 0 1 0 0 0 0 0 1.9777236052888478 0
70 1 0 0 0 0 1 0 0 0 0 0 2.8776592441116087 0
71 0 0 1 0 0 0 0 0 1 0 0 2.669502834104343 0
72 0 1 0 0 0 0 0 1 0 0 0 -1.78198879611302 0
73 0 0 0 1 0 0 0 0 0 1 0 1.274879871729292 1
74 1 0 0 0 0 1 0 0 0 0 0 2.8129133566428557 0
75 0 1 0 0 0 0 1 0 0 0 0 -2.2417802008547825 0
76 0 0 1 0 0 0 0 0 1 0 0 0.5656484990428461 0
77 0 1 0 0 0 0 1 0 1 0 0 -0.7745001684799898 0
78 0 1 0 0 0 1 0 0 1 0 0 -2.6635402661514704 0
79 0 1 0 0 0 0 0 1 0 0 0 -2.1389781665773127 0
80 0 1 0 0 0 0 1 0 0 0 0 -5.08196966321512 0
81 0 0 0 0 1 0 0 0 0 0 1 -5.778331361048005 1
82 0 1 0 0 0 0 1 0 0 0 0 -0.6770671462131165 0
83 0 1 0 0 0 0 1 0 0 0 0 -2.614747740226984 0
84 0 1 0 0 0 0 1 0 0 0 0 -2.4430718422407645 0
85 0 1 0 0 0 0 1 0 0 0 0 0.2698172499938281 0
86 0 1 0 0 0 1 0 0 1 1 0 -2.075970608550004 0
87 0 1 0 0 0 0 1 0 0 0 0 -1.9827658459381745 0
88 0 0 0 1 0 0 0 1 0 0 0 -1.9529094718627928 1
89 0 1 0 0 0 1 0 0 1 1 0 -1.3857205681874787 0
90 0 0 0 1 0 0 0 0 0 1 0 -5.778331361048005 1
91 0 1 0 0 0 0 0 0 1 0 0 -4.614393726401688 0
92 0 1 0 0 0 0 0 0 1 0 0 -2.443071842240765 0
93 0 1 0 0 0 0 1 0 0 0 0 -2.3362585674697187 0
94 0 1 0 0 0 0 0 1 0 0 0 -1.7540332889044428 0
95 0 0 0 1 0 0 0 0 0 1 0 1.274879871729292 1
96 0 1 0 0 0 0 1 0 0 0 0 -5.286509456906058 0
97 1 0 0 0 0 1 0 0 0 0 0 2.606381365110605 0
98 0 1 0 0 0 0 0 1 0 0 0 -2.053538891976647 0
99 0 1 0 0 0 0 0 1 0 0 0 -1.6979954240277377 0
100 0 1 0 0 0 0 0 1 0 0 0 -1.7930341319874763 0
101 0 1 0 0 0 0 0 1 0 0 0 -2.974975981807864 0
102 0 0 0 1 0 0 0 0 0 1 0 1.274879871729292 1
103 0 0 0 1 0 0 0 0 0 1 0 1.274879871729292 1
104 0 0 0 1 0 0 0 0 0 1 0 -5.778331361048005 1
105 0 0 0 0 1 0 0 0 0 0 1 -5.778331361048005 1
106 0 1 0 0 0 0 0 0 1 0 0 0.6766065435976986 0
107 0 1 0 0 0 0 0 1 0 0 0 -2.9430951486635273 0
108 0 1 0 0 0 0 0 0 1 0 0 -4.442492798094342 0
109 0 1 0 0 0 0 1 0 0 0 0 -3.939869000468955 0
110 0 1 0 0 0 0 0 1 0 0 0 -2.0236496585141768 0
111 0 1 0 0 0 0 0 1 0 0 0 -1.8062850713901966 0
112 0 1 0 0 0 0 0 1 0 0 0 -4.065892003215562 0
113 0 0 0 1 0 0 0 0 0 1 0 1.274879871729292 1
114 0 1 0 0 0 0 0 0 1 1 0 -4.440093374963888 0
115 0 1 0 0 0 0 0 1 0 0 0 -1.7171256753759074 0
116 0 1 0 0 0 0 0 1 0 0 0 -5.778331361048005 0
117 0 1 0 0 0 0 0 1 0 0 0 -1.9672404062356958 0
118 0 0 0 1 0 0 0 1 0 0 0 -5.778331361048005 1
119 0 1 0 0 0 0 0 1 0 0 0 -1.4576668500140468 0
120 0 1 0 0 0 0 0 1 0 0 0 -1.9471007493539072 0
121 0 1 0 0 0 0 0 1 0 0 0 -1.8874709243533694 0
122 0 1 0 0 0 0 0 1 0 0 0 -1.800611715110327 0
123 0 1 0 0 0 0 0 1 0 0 0 -1.6914147251728973 0
124 0 0 0 1 0 0 0 1 0 0 0 -1.9529094718627928 1
125 0 1 0 0 0 0 0 1 0 0 0 -1.952343055409341 0
126 0 1 0 0 0 0 0 1 0 0 0 -4.281498311132726 0
127 0 0 0 0 1 0 0 0 0 0 1 -5.778331361048005 1
128 1 0 0 0 0 1 0 0 0 0 0 3.155336037465062 0
129 0 1 0 0 0 0 0 1 0 0 0 -4.435993534114749 0
130 0 1 0 0 0 0 0 1 0 0 0 -5.510041520575165 0
131 0 1 0 0 0 0 0 1 0 0 0 -5.769551078621726 0
