id met_invertebrate met_primary_producer met_endotherm_vertebrate mov_walking mov_sessile mov_other log_mass mass_missing
0 0 1 0 0 1 0 -3.6742497579810935 1
1 1 0 0 1 0 0 0.7075701760979365 0
2 1 0 0 1 0 0 -0.744727494896694 0
3 1 0 0 1 0 0 0.91539983521227 0
4 1 0 0 1 0 0 0.361727836017593 0
5 1 0 0 1 0 0 -1.2218487496163564 0
6 1 0 0 1 0 0 0.7781512503836436 0
7 1 0 0 1 0 0 1.6904618932461783 0
8 1 0 0 1 0 0 1.1818435879447726 0
9 1 0 0 1 0 0 1.216165902285993 0
10 1 0 0 1 0 0 -1.6989700043360187 0
11 1 0 0 1 0 0 -1.6989700043360187 0
12 1 0 0 1 0 0 -1.3467874862246565 0
13 1 0 0 1 0 0 -1.5228787452803376 0
14 1 0 0 1 0 0 0.10380372095595694 0
15 1 0 0 1 0 0 -0.5228787452803374 0
16 1 0 0 1 0 0 0.26481782300953655 0
17 1 0 0 1 0 0 0.47275644931721233 0
18 1 0 0 1 0 0 -1.744727494896694 0
19 1 0 0 1 0 0 0.0 0
20 1 0 0 1 0 0 0.7881683711411674 0
21 1 0 0 1 0 0 0.7881683711411674 0
22 1 0 0 1 0 0 0.7881683711411674 0
23 1 0 0 1 0 0 -1.889410289700751 0
24 0 0 1 1 0 0 2.4471580313422194 0
25 0 0 1 1 0 0 2.6989700043360187 0
26 1 0 0 1 0 0 0.7788744720027394 0
27 1 0 0 1 0 0 2.2391993420543015 0
28 1 0 0 1 0 0 0.9395192526186184 0
29 0 1 0 0 1 0 -5.0 1
30 1 0 0 1 0 0 1.255272505103306 0
31 0 1 0 0 1 0 -5.0 1
32 0 1 0 0 1 0 -3.6420651529995465 1
33 0 1 0 0 1 0 -5.0 1
34 1 0 0 1 0 0 1.041392685158225 0
35 1 0 0 1 0 0 1.1760912590556813 0
36 1 0 0 1 0 0 1.1760912590556813 0
37 0 1 0 0 1 0 -5.0 1
38 1 0 0 1 0 0 0.9030899869919435 0
39 1 0 0 1 0 0 0.36172783601759284 0
40 1 0 0 0 1 0 1.0759117614827776 0
41 1 0 0 1 0 0 0.8228216453031046 0
42 1 0 0 0 1 0 1.0 0
43 1 0 0 0 1 0 1.0791812460476249 0
44 1 0 0 0 1 0 1.041392685158225 0
45 1 0 0 0 1 0 1.0 0
46 0 1 0 0 1 0 -5.0 1
47 0 1 0 0 1 0 -5.0 1
48 1 0 0 1 0 0 -2.167491087293764 0
49 1 0 0 0 1 0 -0.022276394711152406 0
50 1 0 0 0 1 0 -1.301029995663981 0
51 0 1 0 0 1 0 -5.0 1
52 1 0 0 1 0 0 -2.113509274827518 0
53 1 0 0 1 0 0 1.0499158781198323 1
54 1 0 0 0 1 0 -1.0969100130080565 0
55 0 1 0 0 1 0 -5.0 1
56 0 1 0 0 1 0 -5.0 1
57 0 1 0 0 1 0 -5.0 1
58 0 1 0 0 1 0 -5.0 1
59 0 1 0 0 1 0 -5.0 1
60 0 1 0 0 1 0 -5.0 1
61 0 1 0 0 1 0 -5.0 1
62 0 1 0 0 1 0 -5.0 1
63 0 1 0 0 1 0 -5.0 1
64 0 1 0 0 1 0 -5.0 1
65 0 1 0 0 1 0 -5.0 1
66 0 1 0 0 1 0 -5.0 1
67 0 1 0 0 1 0 -5.0 1
68 0 1 0 0 1 0 -5.0 1
69 0 1 0 0 1 0 -5.0 1
70 0 1 0 0 1 0 -5.0 1
71 0 1 0 0 1 0 -5.0 1
72 0 1 0 0 1 0 -5.0 1
73 0 1 0 0 1 0 -5.0 1
74 1 0 0 0 1 0 -1.301029995663981 0
75 0 1 0 0 1 0 -5.0 1
76 0 1 0 0 1 0 -5.0 1
77 0 1 0 0 1 0 -5.0 1
78 0 1 0 0 1 0 -5.0 1
79 0 1 0 0 1 0 -5.0 1
80 1 0 0 0 1 0 -1.301029995663981 0
81 1 0 0 0 1 0 -1.3010299956639813 0
82 1 0 0 0 1 0 0.40140054078154425 0
83 0 1 0 0 1 0 -5.0 1
84 0 1 0 0 1 0 -5.0 1
85 0 1 0 0 1 0 -5.0 1
86 1 0 0 0 1 0 0.3979400086720376 0
87 0 1 0 0 0 1 -5.0 0
88 1 0 0 0 1 0 0.4638929889859073 0
89 1 0 0 0 1 0 -1.3979400086720375 0
90 0 1 0 0 1 0 -5.0 1
91 0 1 0 0 1 0 -5.0 1
92 0 1 0 0 1 0 -5.0 1
93 0 1 0 0 1 0 -5.0 1
94 0 1 0 0 1 0 -5.0 1
95 0 1 0 0 1 0 -5.0 1
96 0 1 0 0 1 0 -5.0 1
97 0 1 0 0 1 0 -5.0 1
98 0 1 0 0 1 0 -5.0 1
99 0 1 0 0 1 0 -5.0 1
100 0 1 0 0 1 0 -5.0 1
