id met_invertebrate met_detritus mov_swimming mov_walking mov_other_nonliving log_mass mass_missing
0 1 0 1 0 0 -2.657577319177794 0
1 1 0 0 1 0 0.4318139102529374 0
2 1 0 1 0 0 -0.21324857785443896 0
3 1 0 1 0 0 -0.549442990581671 0
4 1 0 1 0 0 -0.5651118791326842 0
5 1 0 0 1 0 -1.1378686206869628 0
6 1 0 1 0 0 -0.18708664335714448 0
7 1 0 0 1 0 -0.10718217569042365 0
8 1 0 1 0 0 0.15824183798087355 0
9 1 0 1 0 0 -1.3555614105321614 0
10 1 0 0 1 0 -0.2796752825825582 0
11 1 0 0 1 0 -0.07391491307485608 0
12 1 0 1 0 0 0.7006345013536699 0
13 1 0 1 0 0 -0.6615435063953952 0
14 1 0 0 1 0 -0.9738754832545498 0
15 1 0 1 0 0 -0.7013652168755644 0
16 1 0 0 1 0 -1.4179366370882913 0
17 1 0 1 0 0 -1.324221658325915 0
18 1 0 0 1 0 -0.09280368972839816 0
19 1 0 0 1 0 -1.295849483160201 0
20 1 0 1 0 0 -0.8320921899985201 0
21 1 0 1 0 0 -4.0 0
22 1 0 1 0 0 -0.014618439768002972 0
23 1 0 1 0 0 -0.03254563181725932 0
24 1 0 1 0 0 -2.065501548756432 0
25 1 0 0 1 0 -2.070581074285707 0
26 1 0 1 0 0 -1.1118205060816753 0
27 1 0 1 0 0 -0.6852903070448263 0
28 1 0 1 0 0 -0.6693833327055616 0
29 1 0 0 1 0 0.2075535859493071 0
30 1 0 1 0 0 -3.0457574905606752 0
31 1 0 1 0 0 -0.9154237220656691 0
32 1 0 1 0 0 -1.8867253075356496 0
33 0 1 0 0 1 -4.0 1
