id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_walking mov_sessile log_mass
0 1 0 0 0 0 1 0 -2.619788758288394
1 0 0 1 1 0 0 0 -2.0
2 1 0 0 0 0 1 0 -2.958607314841775
3 1 0 0 0 0 1 0 -3.6989700043360187
4 1 0 0 1 0 0 0 -3.3010299956639813
5 1 0 0 1 0 0 0 -3.154901959985743
6 0 1 0 0 0 0 1 -3.642065152999546
7 1 0 0 1 0 0 0 -3.0
8 1 0 0 1 0 0 0 -3.6989700043360187
9 0 0 1 1 0 0 0 -0.24412514432750865
10 1 0 0 0 0 1 0 -3.3979400086720375
11 1 0 0 1 0 0 0 -0.06048074738138154
12 1 0 0 0 0 1 0 -2.721246399047171
13 1 0 0 0 0 1 0 -3.0457574905606752
14 0 1 0 0 0 0 1 -3.642065152999546
15 0 1 0 0 0 0 1 -3.642065152999546
16 1 0 0 1 0 0 0 -3.0457574905606752
17 1 0 0 0 0 1 0 -3.5228787452803374
18 0 1 0 0 0 0 1 -3.642065152999546
19 0 1 0 0 1 0 0 -4.0
20 1 0 0 1 0 0 0 -3.0
21 1 0 0 0 0 1 0 -2.5686362358410126
22 1 0 0 0 0 1 0 -2.113509274827518
23 0 1 0 0 0 0 1 -3.642065152999546
24 0 1 0 0 0 0 1 -3.642065152999546
