,importance
LRA-approx,0.0006997084548105326
euclidean_num,0.00034985422740523297
KCOi,0.0002915451895043608
KNN-out-D5,0.0002915451895043608
dot_product_num,0.00023323615160348866
ECN-score,0.00023323615160348866
log_mass_ratio,0.00023323615160348866
manhattan_num,0.00023323615160348866
KNN-out-D1,0.00023323615160348866
CCOj,0.00017492711370261648
dot_product,0.00017492711370261648
DSPBCj,0.00011661807580174433
euclidean,0.00011661807580174433
LCj,0.00011661807580174433
KCIi,0.00011661807580174433
CCOi,0.00011661807580174433
dLRA-approx,0.00011661807580174433
log_mass_j,0.00011661807580174433
DCOi,0.00011661807580174433
EPA,0.00011661807580174433
cosine,0.00011661807580174433
DCIj,5.8309037900872165e-05
KNN-in-D6,5.8309037900872165e-05
LNTDj,5.8309037900872165e-05
KNN-in-D1,5.8309037900872165e-05
KNN-in-D2,5.8309037900872165e-05
mLRA-approx,5.8309037900872165e-05
DSPBCi,5.8309037900872165e-05
met_primary_producer_j,0.0
met_detritus_j,0.0
met_primary_producer_i,0.0
mov_swimming_i,0.0
mov_swimming_j,0.0
met_invertebrate_j,0.0
met_invertebrate_i,0.0
mov_other_nonliving_i,0.0
LNTDi,0.0
mass_missing_i,0.0
mov_other_nonliving_j,0.0
mov_floating_i,0.0
mov_floating_j,0.0
log_mass_i,0.0
met_ectotherm_vertebrate_j,0.0
mass_missing_j,0.0
manhattan,0.0
cosine_num,0.0
hamming,0.0
jaccard_attr,0.0
KNN-out-D2,0.0
KNN-in-D3,0.0
KNN-out-D3,0.0
met_detritus_i,0.0
EJC,0.0
met_ectotherm_vertebrate_i,0.0
ECIi,0.0
trophic-i,0.0
trophic-j,0.0
PPRD,0.0
PRDi,0.0
PRDj,0.0
LCi,0.0
LRA,0.0
dLRA,0.0
mLRA,0.0
DSP,0.0
ANDIi,0.0
ANDIj,0.0
ANDOi,0.0
ANDOj,0.0
ECIj,0.0
LCCDi,0.0
ECOj,0.0
DCIi,0.0
DCOj,0.0
CCIi,0.0
CCIj,0.0
KCIj,0.0
KCOj,0.0
ECOi,0.0
LCCDj,0.0
ECN,0.0
ELHN,0.0
ERA,0.0
EAA,0.0
KNN-in-D4,-5.8309037900872165e-05
KNN-out-D6,-0.0002915451895043608
KNN-in-D5,-0.0002915451895043608
KNN-out-D4,-0.00034985422740523297
