id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 1 0 -0.8407336689065057
2 1 0 0 0 0 1 0.2626171815385741
3 1 0 0 0 0 1 -0.8699880503280958
4 1 0 0 0 0 1 -1.1493537648169334
5 1 0 0 0 0 1 -2.0
6 1 0 0 0 0 1 -0.7368375350377834
7 0 1 1 0 0 0 -3.642065152999546
8 0 1 1 0 0 0 -3.642065152999546
9 0 1 1 0 0 0 -3.642065152999546
10 0 1 1 0 0 0 -3.642065152999546
11 0 1 0 1 0 0 -4.0
12 1 0 1 0 0 0 0.09659720835789401
13 1 0 0 0 1 0 -3.0
14 0 1 1 0 0 0 -3.642065152999546
15 0 1 1 0 0 0 -3.642065152999546
16 0 1 1 0 0 0 -3.642065152999546
17 0 1 1 0 0 0 -3.642065152999546
