net_id,struc_roc_mean,attr_roc_mean,full_roc_mean,struc_pr_mean,attr_pr_mean,full_pr_mean
32,0.9862781355638122,0.8999953541300318,0.9885044785622998,0.7491012303425022,0.17888108836696878,0.789811099671335
33,0.9899025265325065,0.9127249377788903,0.99347974863693,0.7952947370292949,0.2367182963297732,0.8527090241129546
34,0.9883086492682551,0.9088071234430999,0.990619617693507,0.7493784504637596,0.171890551204486,0.8031639454717301
35,0.9862129977433909,0.9003214993505495,0.9909384317141967,0.7777139720514518,0.20722030184484166,0.8441723618383346
36,0.9852808494620628,0.9036443669766872,0.989266980520477,0.719866877448309,0.17929510703882615,0.7866656385361349
37,0.9875787825653575,0.888162898662982,0.9904631511649278,0.7401225087261128,0.13279032989732814,0.7962168960139626
38,0.987564038609017,0.9094650125459779,0.9903818718415074,0.759235500268133,0.21674196316204863,0.8360895745486532
39,0.9906999160614267,0.9070506452504892,0.9927696706388194,0.8010576039525844,0.21884632998867465,0.8446958462072545
40,0.9906499499133646,0.921968989506917,0.9941230442391717,0.8508348435047935,0.3033831634727876,0.8942413229858357
41,0.9855259499777311,0.906716363261331,0.9893018408598472,0.7692109623624784,0.310191369583957,0.8686699699023517
42,0.9749318118524204,0.8709106470333264,0.9840690756793847,0.6356898088486161,0.14413126535388623,0.7570772785331693
43,0.9861622212297562,0.9098055991078084,0.9913982989262417,0.7950365148759757,0.28925972383676996,0.8382282772903922
44,0.9880506400783586,0.9095519069373958,0.9921445487278877,0.7579316064693884,0.25760148115658954,0.8602737940910042
45,0.9810603612564958,0.8799334938504588,0.9874744117729085,0.7147672603777397,0.19179341026573377,0.8017639261194421
46,0.988257411983858,0.9056941125484561,0.9930023401964216,0.8196617868396956,0.20570040012080013,0.8773588765770064
47,0.9886278719475058,0.9205019598021458,0.9936861801809019,0.8492724591053307,0.34279386935770667,0.909347831219152
48,0.984958171333901,0.9097235195471033,0.9901266344552251,0.7889262280605933,0.27573019349196093,0.8665757457040588
49,0.9808516888237369,0.8948570388740766,0.9878889262754338,0.7577208660772757,0.26571492617633996,0.8407230455274064
50,0.9876189838357551,0.9249049754812484,0.9920779417548828,0.8102240728425004,0.39588326116128486,0.8510879616779462
51,0.9822171852474358,0.8912913314665566,0.9891153147702877,0.73501150347767,0.1792908181165755,0.8332780872246437
52,0.9784120993382418,0.8833542322536218,0.9854308953014996,0.7120102140447871,0.20612106886878917,0.8162515146779705
53,0.9874879889913268,0.9001292236972995,0.9905495371832187,0.7871585317130203,0.20935039978292935,0.8322219401812578
54,0.9858360917826323,0.8970881354444333,0.9888686982629862,0.7854974778493933,0.21402980955175083,0.8111318567832544
55,0.9837617217862412,0.8972776605489244,0.9884267108628764,0.7317988853926233,0.20512389636408743,0.7677224287229597
56,0.9839720148797173,0.8980959594012445,0.9884810016459873,0.7890671270282421,0.20202054157184363,0.8403263303854656
57,0.9884086148075886,0.9172581869230289,0.9916105557483743,0.5720273261846944,0.11483066617479876,0.579427265103465
58,0.9697490952216032,0.9165006583227427,0.9802988851712341,0.5553252178642706,0.28578587205063627,0.7290686150454404
59,0.9821193273772171,0.9004744456738338,0.9819048012242517,0.7896115743035583,0.24570992726312876,0.8371901861642577
60,0.9785873186162768,0.9095835552291355,0.9815505469195026,0.7098237749886958,0.19691816917138952,0.7739152257021626
61,0.9851167212056966,0.9097120007950409,0.9918111590888141,0.8117407948519866,0.24175934577242125,0.8715498939404013
62,0.9564235608560567,0.9167750728497269,0.9746870838881492,0.5336420046867902,0.4833698864944992,0.7046266219373768
63,0.991956953665573,0.943256949096925,0.9936629821799385,0.8842572015298714,0.40813391964861995,0.9093621574678556
64,0.8207766143106457,0.7657417102966841,0.8709075043630017,0.3526973352416192,0.09857316133401174,0.5077312105761824
65,0.9771922124251681,0.8941320363670501,0.9805543303220029,0.8123976569649457,0.18967218579458364,0.86704926898496
66,0.9711486369910283,0.8966131815044859,0.978880477915804,0.5748861853739845,0.13607973202421497,0.7341277074891679
67,0.934912032355915,0.8182762386248736,0.9449310414560163,0.5068542744681883,0.1528499984964098,0.6555584581635872
68,0.9324841101694915,0.8189375,0.9519756355932204,0.4270171033265985,0.2217191778711669,0.6209249691760592
69,0.9870695076972898,0.9105078999922037,0.989334635105879,0.8121020242757737,0.3644900653695234,0.8544870204547601
70,0.9815110333308141,0.9330319455712848,0.9838503944193884,0.8274709223018599,0.2768201907800465,0.871665340881665
71,0.9346979440709344,0.8535424989444282,0.9233640261132223,0.38486297193257424,0.25148951613233256,0.4789202933594655
72,0.8347915343915344,0.8012888888888888,0.8790412698412698,0.36110342604237833,0.18186546949382415,0.41548971054753603
73,0.8866951871657754,0.7888836898395721,0.9349126559714793,0.45388173538821625,0.17703292649047594,0.6131271659501503
74,0.9587511015684955,0.8733311431306102,0.9689665692285141,0.6134590398216592,0.15875001275135417,0.6919073374934774
75,0.9516924398625429,0.8505627355279979,0.963111293723127,0.5695599146713956,0.2479065231803209,0.6653398725088764
76,0.8575966048693322,0.8163055617601073,0.9112128657583203,0.3888676604693363,0.21140797475760625,0.6241044629816965
77,0.9206940901742412,0.8409549128794683,0.9380147296569069,0.257812330750265,0.1353325490172003,0.38237515425521085
78,0.9597758473462953,0.8721797709756526,0.9739200932737783,0.5367859413574355,0.15875735659919163,0.6946465013053057
79,0.9813802578777583,0.9028201420354124,0.9829165920682357,0.7119405488342135,0.2729347878989724,0.794726329662614
80,0.8660552995391704,0.8219124423963133,0.8722073732718894,0.34894263988617846,0.2152470397936157,0.5198915164609998
81,0.978457003241956,0.8595446377032576,0.984854475024596,0.6291518709765047,0.19138272803998238,0.7724920824195088
82,0.9285929073121786,0.781049793051549,0.9443379217358586,0.5957056051415384,0.17063275370264996,0.629583573874988
83,0.9878965115186569,0.9101761176193923,0.991345464712959,0.8610545207920483,0.2359392674137458,0.8912778869677128
84,0.9757766844255535,0.8996812600075694,0.9866692790668334,0.8119751206154389,0.1935319843871762,0.900350277776689
85,0.9808009174311925,0.8490266055045872,0.9742330275229358,0.7752212152515279,0.2320024159633749,0.7925532398677181
86,0.9746278623169966,0.9200630939657657,0.9833812136325852,0.6619620633140443,0.4696891638613746,0.7719716873766003
87,0.9818687807528812,0.9258584055999819,0.9890672071401857,0.784642522552765,0.3115408368428679,0.8757277672085018
