id met_endotherm_vertebrate met_primary_producer met_invertebrate mov_flying mov_walking mov_sessile mov_other log_mass mass_missing
0 1 0 0 1 0 0 0 2.7596678446896306 0
1 1 0 0 1 0 0 0 2.978180516937414 0
2 1 0 0 1 0 0 0 2.88280904139244 0
3 1 0 0 1 0 0 0 2.8543060418010806 0
4 1 0 0 0 1 0 0 3.5185139398778875 0
5 1 0 0 0 1 0 0 3.4771212547196626 0
6 1 0 0 0 1 0 0 4.096910013008056 0
7 1 0 0 0 1 0 0 3.6989700043360187 0
8 1 0 0 0 1 0 0 1.4502491083193612 0
9 1 0 0 0 1 0 0 2.1271047983648077 0
10 1 0 0 1 0 0 0 2.5921767573958667 0
11 1 0 0 0 1 0 0 5.0 0
12 0 0 1 0 0 0 1 -2.6989700043360187 0
13 1 0 0 1 0 0 0 1.5314789170422551 0
14 1 0 0 1 0 0 0 1.9201755220100227 0
15 0 1 0 0 0 1 0 -2.6989700043360187 1
16 1 0 0 0 1 0 0 1.5440680443502757 0
17 0 1 0 0 0 1 0 -2.6989700043360187 1
18 1 0 0 1 0 0 0 2.9582208763235753 0
19 0 1 0 0 0 1 0 -2.6989700043360187 1
20 0 1 0 0 0 1 0 -2.6989700043360187 1
21 0 1 0 0 0 1 0 -2.6989700043360187 1
