id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_sessile mov_walking mov_other log_mass
0 0 1 0 0 0 1 0 -1.8538719643217618
1 0 1 0 0 0 1 0 -0.6989700043360187
2 1 0 0 1 0 0 0 -0.7695510786217261
3 1 0 0 1 0 0 0 -0.45593195564972444
4 1 0 0 1 0 0 0 -0.8860566476931633
5 0 1 0 1 0 0 0 -2.769551078621726
6 1 0 0 1 0 0 0 -0.9999999999999999
7 0 1 0 1 0 0 0 -1.0087739243075051
8 0 0 1 0 1 0 0 -3.642065152999546
9 0 1 0 0 0 1 0 -2.638272163982407
10 0 1 0 1 0 0 0 -3.3979400086720375
11 0 1 0 0 0 1 0 -0.8386319977650252
12 0 1 0 1 0 0 0 -3.154901959985743
13 0 1 0 0 0 1 0 -0.7281583934635011
14 0 1 0 0 0 1 0 -2.9208187539523753
15 0 1 0 0 0 1 0 -0.3467874862246563
16 0 1 0 0 0 1 0 -3.3010299956639813
17 0 1 0 0 0 1 0 -2.2596373105057563
18 0 1 0 1 0 0 0 0.24303804868629442
19 0 1 0 0 0 1 0 -0.6143937264016879
20 0 1 0 0 0 1 0 -2.070581074285707
21 0 1 0 0 0 1 0 -2.8239087409443187
22 0 1 0 0 0 1 0 -2.2518119729937998
23 0 1 0 1 0 0 0 -3.3979400086720375
24 0 1 0 0 0 1 0 -2.8860566476931635
25 0 1 0 0 1 0 0 -2.0
26 0 1 0 0 0 1 0 -2.0268721464003012
27 0 1 0 0 0 1 0 -2.6989700043360187
28 0 1 0 0 1 0 0 -2.9208187539523753
29 0 0 1 0 1 0 0 -3.642065152999546
30 0 0 1 0 1 0 0 -3.642065152999546
31 0 1 0 1 0 0 0 -3.0
32 0 0 1 0 1 0 0 -3.642065152999546
33 0 1 0 0 1 0 0 1.8401060944567578
34 0 1 0 0 0 1 0 -2.0132282657337552
35 0 0 1 0 1 0 0 -3.642065152999546
36 0 0 1 0 1 0 0 -3.642065152999546
37 0 1 0 1 0 0 0 -3.5228787452803374
38 0 1 0 0 1 0 0 -2.207608310501746
39 0 1 0 0 1 0 0 -0.692503962086787
40 0 1 0 0 0 1 0 -2.0
41 0 1 0 0 0 1 0 -2.744727494896694
42 0 0 1 0 0 0 1 -4.0
43 0 1 0 0 1 0 0 -2.958607314841775
44 0 1 0 0 1 0 0 -1.5528419686577808
45 0 1 0 0 1 0 0 -2.721246399047171
46 0 1 0 1 0 0 0 -3.0
47 0 1 0 0 0 1 0 -2.3767507096020997
48 0 0 1 0 1 0 0 -3.642065152999546
49 0 0 1 0 1 0 0 -3.642065152999546
