id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -11.30189945437661 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -5.0 0
3 0 0 1 0 1 0 0 -5.0 0
4 0 0 1 0 1 0 0 -5.0 0
5 0 0 1 0 1 0 0 -4.841637507904751 0
6 0 0 1 0 1 0 0 -4.166215625343521 0
7 0 0 0 1 0 0 1 -10.590066876668706 0
8 0 0 0 1 0 0 1 -11.106793246940152 0
9 0 0 0 1 0 0 1 -9.621602099051863 0
10 0 0 0 1 0 0 1 -9.290730039024169 0
11 1 0 0 0 1 0 0 -1.7958800173440752 0
12 0 0 1 0 1 0 0 -5.809668301829708 0
13 0 0 1 0 1 0 0 -4.649751981665837 0
14 0 0 1 0 1 0 0 -3.9136401693252516 0
15 1 0 0 0 1 0 0 0.6020599913279624 0
16 0 0 1 0 1 0 0 -2.3410351573355648 0
17 1 0 0 0 1 0 0 0.9294189257142927 0
18 0 0 1 0 1 0 0 -5.0 0
19 1 0 0 0 1 0 0 1.0 0
20 1 0 0 0 1 0 0 1.6532125137753437 0
21 0 0 1 0 1 0 0 -5.164309428507575 0
22 0 0 0 1 0 0 1 -10.438898616350944 0
23 1 0 0 0 1 0 0 2.3180633349627615 0
24 1 0 0 0 1 0 0 3.27669152884504 0
25 1 0 0 0 1 0 0 2.56643749219507 0
26 0 0 0 1 0 0 1 -10.8153085691824 0
27 0 0 0 1 0 0 1 -9.0 0
28 0 0 0 1 0 0 1 -9.116338564846382 0
29 0 0 1 0 1 0 0 -5.661543506395395 0
30 0 0 1 0 1 0 0 -4.493494967595128 0
31 0 0 1 0 1 0 0 -6.497572880015567 0
32 0 0 0 1 0 0 1 -9.45717457304082 0
33 0 0 0 1 0 0 1 -10.08460016478773 0
34 0 0 0 1 0 0 1 -10.08460016478773 0
35 0 0 0 1 0 0 1 -9.978810700930062 0
36 0 0 1 0 1 0 0 -4.396855627379818 0
37 0 0 0 1 0 0 1 -9.146301788223825 0
38 0 0 0 1 0 0 1 -8.906578314837764 0
39 0 0 1 0 1 0 0 -6.068033885271827 0
40 0 0 0 1 0 0 1 -8.027334407733889 0
41 1 0 0 0 1 0 0 1.8129133566428555 0
42 0 0 1 0 1 0 0 -7.698970004336019 0
43 0 0 1 0 1 0 0 -8.0 0
44 0 0 1 0 1 0 0 -5.723538195826756 0
45 0 0 0 1 0 0 1 -8.131355561605174 0
46 0 0 0 1 0 0 1 -8.247951552180561 0
47 0 0 0 1 0 0 1 -9.236572006437063 0
48 0 0 0 1 0 0 1 -10.61798295742513 0
49 0 0 0 1 0 0 1 -7.064996848546345 0
50 0 0 0 1 0 0 1 -9.308918507877031 0
51 0 0 0 1 1 0 0 -7.251811972993799 0
52 1 0 0 0 1 0 0 0.6020599913279624 0
53 0 0 1 0 1 0 0 -6.293282217663242 0
54 0 0 0 1 0 0 1 -10.114638779968487 0
55 0 0 0 1 0 0 1 -9.79317412396815 0
56 0 0 0 1 0 0 1 -9.19586056766465 0
57 0 0 0 1 0 0 1 -8.954677021213342 0
58 0 0 0 1 0 0 1 -8.97061622231479 0
59 0 0 0 1 0 0 1 -8.97061622231479 0
60 0 0 0 1 0 0 1 -9.153662887870194 0
61 0 1 0 0 0 1 0 -11.45717457304082 1
62 0 0 1 0 1 0 0 -2.7417564900754843 0
63 1 0 0 0 0 0 1 -1.6968039425795112 0
64 0 0 0 1 1 0 0 -11.45717457304082 0
