id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 1 0 -2.008773924307505
2 1 0 0 0 0 1 -0.8840568230609448
3 1 0 0 0 0 1 -0.7269987279362623
4 1 0 0 0 0 1 -2.0
5 1 0 0 0 0 1 -3.6989700043360187
6 1 0 0 0 0 1 -0.46369412764896645
7 0 1 1 0 0 0 -3.6989700043360187
8 0 1 1 0 0 0 -3.642065152999546
9 0 1 1 0 0 0 -3.642065152999546
10 0 1 1 0 0 0 -3.642065152999546
11 0 1 0 1 0 0 -4.0
12 1 0 1 0 0 0 -3.6989700043360187
13 1 0 1 0 0 0 0.4264949953490336
14 1 0 0 0 1 0 -3.0
15 0 1 1 0 0 0 -3.642065152999546
16 0 1 1 0 0 0 -3.642065152999546
17 1 0 1 0 0 0 -0.7146677723561156
