id met_invertebrate met_primary_producer mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 1 0 -3.642065152999546
1 1 0 1 0 0 0 -0.8830603534492443
2 1 0 0 0 0 1 -1.265200170411153
3 1 0 0 0 0 1 -1.45717457304082
4 1 0 0 0 0 1 -2.0
5 1 0 0 0 0 1 -0.7680209731684957
6 0 1 0 0 1 0 -3.6989700043360187
7 0 1 0 0 1 0 -3.642065152999546
8 1 0 0 0 1 0 -3.6989700043360187
9 1 0 0 0 0 1 -1.9665762445130504
10 0 1 0 0 1 0 -3.642065152999546
11 0 1 0 1 0 0 -4.0
12 1 0 1 0 0 0 -3.0
13 0 1 0 0 1 0 -3.642065152999546
