id met_invertebrate met_other met_detritus met_endotherm_vertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_other_nonliving mov_swimming mov_sessile log_mass mass_missing
174 1 0 0 0 0 0 1 0 0 0 -1.6647469580887457 0
175 1 0 0 0 0 0 1 0 0 0 -1.7608377145152516 0
176 1 0 0 0 0 0 1 0 0 0 -2.057628978877431 0
177 1 0 0 0 0 0 0 0 0 1 -0.6781208289548494 0
178 0 0 0 0 1 0 0 0 1 0 1.6989700043360187 0
179 1 0 0 0 0 0 1 0 0 0 0.4797504609248754 0
180 1 0 0 0 0 0 0 0 0 1 -0.8855044426960001 0
181 1 0 0 0 0 0 1 0 0 0 -2.130629386935623 0
182 1 0 0 0 0 0 0 0 0 1 -0.8290729740797969 0
183 0 0 0 1 0 0 0 0 1 0 6.301029995663981 0
184 1 0 0 0 0 0 0 0 0 1 -0.6182948243342002 0
185 1 0 0 0 0 0 0 0 1 0 -1.2949553798790987 0
186 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
187 1 0 0 0 0 0 1 0 0 0 -2.5160316324485854 0
188 1 0 0 0 0 0 1 0 0 0 -2.1519551173657354 0
189 1 0 0 0 0 0 0 0 1 0 -2.2969099920009572 0
190 1 0 0 0 0 0 1 0 0 0 -2.6621529421621895 0
191 1 0 0 0 0 0 1 0 0 0 -2.6222041685020097 0
192 1 0 0 0 0 0 0 0 0 1 -0.7421484616102398 0
193 1 0 0 0 0 0 0 0 0 1 -0.37790094035838406 0
194 1 0 0 0 0 0 0 0 0 1 -0.4592813364942637 0
195 1 0 0 0 0 0 1 0 0 0 -2.130629386935623 0
196 0 0 0 0 0 1 0 0 1 0 -12.823908740944319 0
197 1 0 0 0 0 0 0 0 1 0 -4.089909454405932 0
198 1 0 0 0 0 0 1 0 0 0 -1.2949553798790985 0
199 1 0 0 0 0 0 1 0 0 0 -1.2949553798790987 0
200 0 0 0 0 0 1 0 0 1 0 -11.396855627379818 0
201 1 0 0 0 0 0 0 0 0 1 -1.6647469580887457 0
202 1 0 0 0 0 0 0 0 0 1 -1.4612360526906873 0
203 1 0 0 0 0 0 0 0 1 0 -3.431798275933005 0
204 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
205 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
206 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
207 1 0 0 0 0 0 1 0 0 0 -0.8663033691893594 0
208 1 0 0 0 0 0 1 0 0 0 -2.6222041685020097 0
209 0 0 1 0 0 0 0 1 0 0 -13.645891560852599 1
210 1 0 0 0 0 0 0 0 0 1 -0.2930007427306656 0
211 1 0 0 0 0 0 0 0 0 1 -0.7421484616102398 0
212 1 0 0 0 0 0 1 0 0 0 -1.2949553798790987 0
213 1 0 0 0 0 0 0 0 0 1 -1.4612360526906873 0
214 1 0 0 0 0 0 0 0 0 1 -0.10998535118307481 0
215 1 0 0 0 0 0 0 0 0 1 -0.21533528699545323 0
216 1 0 0 0 0 0 0 0 0 1 -0.5897920231464094 0
217 1 0 0 0 0 0 0 0 0 1 -1.9271184263319248 0
218 1 0 0 0 0 0 0 0 0 1 -1.537281491266179 0
219 1 0 0 0 0 0 0 0 0 1 0.3391623454837093 0
220 1 0 0 0 0 0 0 0 0 1 -2.130629386935623 0
221 1 0 0 0 0 0 0 0 0 1 -1.6647469580887457 0
222 1 0 0 0 0 0 0 0 0 1 -1.9271184263319248 0
223 1 0 0 0 0 0 0 0 0 1 -2.057628978877431 0
224 0 0 0 0 0 1 0 0 0 1 0.0034786273359378047 0
225 0 0 0 0 0 1 0 0 1 0 -10.391473966422806 0
226 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
227 0 0 0 0 0 1 0 0 0 1 -0.07682885359790563 0
228 1 0 0 0 0 0 1 0 0 0 -1.4612360526906873 0
229 0 0 1 0 0 0 0 1 0 0 -13.645891560852599 1
230 1 0 0 0 0 0 0 0 1 0 -2.130629386935623 0
231 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
232 1 0 0 0 0 0 0 0 1 0 -2.3930007425075135 0
233 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
234 1 0 0 0 0 0 0 0 1 0 -1.0325840169447968 0
235 1 0 0 0 0 0 0 0 1 0 -2.2969099920009572 0
236 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
237 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
238 1 0 0 0 0 0 1 0 0 0 -1.537281491266179 0
239 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
240 1 0 0 0 0 0 1 0 0 0 -1.1543671145734415 0
241 1 0 0 0 0 0 1 0 0 0 -2.9855046628136126 0
242 1 0 0 0 0 0 1 0 0 0 -1.537281491266179 0
243 1 0 0 0 0 0 1 0 0 0 -2.762792417222378 0
244 1 0 0 0 0 0 1 0 0 0 -1.3578781040533199 0
245 1 0 0 0 0 0 1 0 0 0 -1.2949553798790987 0
246 1 0 0 0 0 0 0 0 1 0 -2.2646105541891153 0
247 1 0 0 0 0 0 0 0 1 0 -2.0933989669435102 0
248 1 0 0 0 0 0 0 0 1 0 -1.236095068635506 0
249 1 0 0 0 0 0 1 0 0 0 -2.5235113938556775 0
250 1 0 0 0 0 0 1 0 0 0 -2.9290730176625863 0
251 1 0 0 0 0 0 0 0 1 0 -4.600326278518962 0
252 0 0 0 0 0 1 0 0 1 0 -8.79860287567955 0
253 0 0 0 0 0 1 0 0 1 0 -13.645891560852599 0
254 0 0 0 0 0 1 0 0 0 1 -0.20515170111800685 0
255 0 0 0 0 0 1 0 0 0 1 -0.29661833241486896 0
256 0 0 0 0 0 1 0 0 0 1 -1.6912503838647623 0
257 0 1 0 0 0 0 0 1 0 0 -13.645891560852599 1
258 1 0 0 0 0 0 1 0 0 0 -2.130629386935623 0
259 1 0 0 0 0 0 1 0 0 0 -2.3930007425075135 0
260 0 0 0 0 0 1 0 0 1 0 -10.71669877129645 0
261 0 0 0 0 0 1 0 0 1 0 -10.197226274708024 0
262 0 0 0 0 0 1 0 0 0 1 -0.5503466840199833 0
