"","feature_name","mean_coef","mean_coef_se","mean_coef_conf_low","mean_coef_conf_high","mean_coef_zvalue","mean_coef_pvalue","p_adjusted","model","metric","significance"
"1","avg_degree",0.913933464712443,0.063759834794618,0.788964188514992,1.03890274090989,14.3339998865491,0.000000000000000000000000000000000000000000000134165378930858,0.0000000000000000000000000000000000000000000017937859562381,"Full","ROC-AUC","****"
"2","cannibalistic_removal",-0.490714040886774,0.0342666711562782,-0.557876716353079,-0.423551365420469,-14.3204467877489,0.0000000000000000000000000000000000000000000001630714505671,0.0000000000000000000000000000000000000000000017937859562381,"Full","ROC-AUC","****"
"3","log_num_nodes",0.706783364034801,0.0539824116052824,0.600977837288447,0.812588890781154,13.0928452993686,0.00000000000000000000000000000000000000361796431701532,0.000000000000000000000000000000000000026531738324779,"Full","ROC-AUC","****"
"4","unclassified_tax_frac",-0.520121885416629,0.0416448899545483,-0.601745869727544,-0.438497901105715,-12.489452751209,0.00000000000000000000000000000000000852379187972965,0.0000000000000000000000000000000000468808553385131,"Full","ROC-AUC","****"
"5","mass_skewness",-0.425895123355867,0.0501881837115002,-0.524263963430408,-0.327526283281327,-8.48596406285724,0.000000000000000021393756000784,0.0000000000000000941325264034495,"Full","ROC-AUC","****"
"6","max_log_mass",0.306400626725975,0.066362983835611,0.176329178408178,0.436472075043773,4.61704114276969,0.00000389250120552241,0.0000142725044202488,"Full","ROC-AUC","****"
"7","num_attr",0.318160571246258,0.0725855828675737,0.175892828825813,0.460428313666702,4.38324745324034,0.0000116923174835372,0.0000367472835196882,"Full","ROC-AUC","****"
"8","min_log_mass",-0.330203760324418,0.0817523058968411,-0.490438279882226,-0.169969240766609,-4.03907579978336,0.0000536622229301174,0.000147571113057823,"Full","ROC-AUC","***"
"9","deg_assort_oo",0.20885497615654,0.0565636447142929,0.0979902325165261,0.319719719796554,3.69238894013075,0.000222157365072998,0.000543051336845106,"Full","ROC-AUC","***"
"10","modularity",-0.188232277154438,0.056826050170354,-0.299611335488331,-0.0768532188205437,-3.31242936276852,0.000924894790286313,0.00196814867425244,"Full","ROC-AUC","**"
"11","assort_mov",0.198693096432665,0.0603006505398656,0.0805038213745282,0.316882371490802,3.29504067789959,0.000984074337126218,0.00196814867425244,"Full","ROC-AUC","**"
"12","miss_mass_frac",0.192874519896603,0.0769566523235797,0.0420394813423868,0.343709558450819,2.50627481930507,0.0122010746249197,0.0223686368123527,"Full","ROC-AUC","*"
"13","deg_assort_ii",-0.151502278983413,0.0617562872140092,-0.272544601922871,-0.0304599560439547,-2.45322842123587,0.0141580402456585,0.0239597604157298,"Full","ROC-AUC","*"
"14","assort_mass",0.135233285869875,0.0576751560971047,0.0221899799195502,0.248276591820201,2.34474069982906,0.0190403162098532,0.0299204969011978,"Full","ROC-AUC","*"
"15","deg_assort_io",0.0912067085732299,0.0615866479499361,-0.0295031214086449,0.211916538555105,1.48094938772073,0.138620060943049,0.203309422716473,"Full","ROC-AUC",""
"16","assort_met",0.08587088049145,0.060010988329293,-0.0317506566339642,0.203492417616864,1.43091928465264,0.152453349393862,0.20962335541656,"Full","ROC-AUC",""
"17","connectance",-0.078683804729174,0.0607229502616596,-0.197700787242027,0.0403331777836787,-1.29578362695027,0.195050040468026,0.25241769942921,"Full","ROC-AUC",""
"18","high_tax_frac",-0.0759098148861145,0.0615307496157824,-0.196510084133048,0.0446904543608189,-1.23368909626682,0.217318778520656,0.265611840414135,"Full","ROC-AUC",""
"19","median_log_mass",0.0750909872382729,0.0633543645060045,-0.0490835671934959,0.199265541670042,1.18525357840431,0.235917201730293,0.273167286214023,"Full","ROC-AUC",""
"20","deg_assort_oi",0.066217264860683,0.0616975362574077,-0.054709906203836,0.187144435925202,1.07325622508521,0.28315617007115,0.311471787078265,"Full","ROC-AUC",""
"21","mean_log_mass",0.0365345003815958,0.0634599089771717,-0.0878469212136607,0.160915921976852,0.575709939873036,0.564811255645769,0.591707029724139,"Full","ROC-AUC",""
"22","clustering_coefficient",-0.0116384868494625,0.0611052024493733,-0.131404683650234,0.108127709951309,-0.190466382287257,0.848943684005485,0.848943684005485,"Full","ROC-AUC",""
"23","cannibalistic_removal",-0.359897220461087,0.0302868888968893,-0.41925952269899,-0.300534918223184,-11.8829379170091,0.0000000000000000000000000000000145173666769022,0.000000000000000000000000000000319382066891849,"Attribute","ROC-AUC","****"
"24","unclassified_tax_frac",-0.338161849073209,0.0368623323958959,-0.410412020569164,-0.265911677577253,-9.17364222755634,0.000000000000000000045730089860283,0.000000000000000000503030988463112,"Attribute","ROC-AUC","****"
"25","avg_degree",0.444864718716358,0.0578802849647199,0.331419360185507,0.558310077247209,7.68594555101999,0.0000000000000151871092544294,0.000000000000111372134532482,"Attribute","ROC-AUC","****"
"26","log_num_nodes",0.331306931504996,0.0486727228805523,0.235908394659113,0.426705468350878,6.80682961415691,0.00000000000997729782281413,0.0000000000548751380254777,"Attribute","ROC-AUC","****"
"27","modularity",-0.250422008745467,0.0402400217460886,-0.3292924513678,-0.171551566123133,-6.22320758983705,0.000000000487092201088815,0.00000000214320568479079,"Attribute","ROC-AUC","****"
"28","mass_skewness",-0.237093375196256,0.0429875168157234,-0.321348908155074,-0.152837842237438,-5.51540058042,0.0000000347986420396186,0.000000127595020811935,"Attribute","ROC-AUC","****"
"29","deg_assort_oi",0.224828458562961,0.0468224769061127,0.13305640382698,0.316600513298942,4.80172074223629,0.00000157307970691272,0.00000494396479315427,"Attribute","ROC-AUC","****"
