"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"50","mass_skewness",-0.49489220997363,0.0358902610316992,0.00000000000000000000000000000000000000000170594270692636,"Structure","ROC-AUC","****"
"51","min_log_mass",-0.492769260846268,0.0442675991403399,0.000000000000000000000000000404982264940589,"Structure","ROC-AUC","****"
"52","unclassified_tax_frac",-0.33691847852005,0.0310713471718808,0.00000000000000000000000000821852681788256,"Structure","ROC-AUC","****"
"53","num_attr",0.357299309443985,0.0448929538951448,0.00000000000000570239394910958,"Structure","ROC-AUC","****"
"54","assort_mov",0.356156089291499,0.0476820532058281,0.000000000000231622566940459,"Structure","ROC-AUC","****"
"55","mean_log_mass",-0.324622818937275,0.0440460600112542,0.00000000000043580023307837,"Structure","ROC-AUC","****"
"56","assort_mass",0.29036234197815,0.0467676176396697,0.00000000122939772671652,"Structure","ROC-AUC","****"
"57","median_log_mass",-0.257535285825938,0.0448901071026719,0.0000000201477624691635,"Structure","ROC-AUC","****"
"58","clustering_coefficient",0.24784618592908,0.046036863378106,0.000000139901135525865,"Structure","ROC-AUC","****"
"59","deg_assort_oo",0.160775823306763,0.0453483165952965,0.000693691557513129,"Structure","ROC-AUC","***"
"60","connectance",-0.126608056445215,0.0448551238225562,0.00782591703311714,"Structure","ROC-AUC","**"
"61","assort_met",0.116812557332996,0.0446724860415398,0.0136869184845846,"Structure","ROC-AUC","*"
"62","miss_mass_frac",0.0752136133011235,0.0484102299436975,0.172877634489835,"Structure","ROC-AUC",""
"63","parasitic_removal",0.0692014051452957,0.052626734359648,0.255066574824296,"Structure","ROC-AUC",""
"64","deg_assort_io",0.047778489349886,0.0454658503602058,0.355072075538225,"Structure","ROC-AUC",""
"65","max_log_mass",0.0500784365031537,0.0461604697546646,0.355072075538225,"Structure","ROC-AUC",""
"66","modularity",-0.0272301968778538,0.0458696865230281,0.635663911156084,"Structure","ROC-AUC",""
"67","deg_assort_ii",-0.0218027723070453,0.0461237418131131,0.697037995522624,"Structure","ROC-AUC",""
"68","deg_assort_oi",0.017865121489325,0.0460706828835476,0.729917069622282,"Structure","ROC-AUC",""
