"","feature_name","mean_coef","mean_coef_se","mean_coef_conf_low","mean_coef_conf_high","mean_coef_zvalue","mean_coef_pvalue","p_adjusted","model","metric","significance"
"1","min_log_mass",-0.200444666898318,0.0119145142734388,-0.223797114874258,-0.177092218922378,-16.8235701681244,0.00000000000000000000000000000000000000000000000000000000000000163972661571174,0.00000000000000000000000000000000000000000000000000000000000003771371216137,"Full","ROC-AUC","****"
"2","connectance",15.0105672345088,1.78453053869233,11.5128873786718,18.5082470903457,8.41149361641535,0.0000000000000000404822215259938,0.000000000000000465545547548929,"Full","ROC-AUC","****"
"3","miss_mass_frac",-21.3507980140136,2.77870471351313,-26.7970592524993,-15.9045367755278,-7.6837232506867,0.0000000000000154530304347275,0.000000000000118473233332911,"Full","ROC-AUC","****"
"4","avg_degree",0.0797981397492051,0.012900658534058,0.0545128490224514,0.105083430475959,6.18558653719393,0.000000000618719817106564,0.00000000355763894836274,"Full","ROC-AUC","****"
"5","mean_log_mass",-0.374903196691879,0.107443884807347,-0.585493210914279,-0.16431318246948,-3.48929301434049,0.000484299962068561,0.00222777982551538,"Full","ROC-AUC","**"
"6","modularity",-5.79050765090673,1.82379769306369,-9.36515112931157,-2.21586417250189,-3.17497257120639,0.00149850665260672,0.0057442755016591,"Full","ROC-AUC","**"
"7","clustering_coefficient",1.33345000686132,0.43833054071785,0.474322147054336,2.19257786666831,3.0421106516501,0.00234925517964208,0.00771898130453826,"Full","ROC-AUC","**"
"8","parasitic_removal",-10.1898721031871,3.66942837315919,-17.3819517145791,-2.99779249179509,-2.77696443885458,0.00548691818125622,0.0157748897711116,"Full","ROC-AUC","*"
"9","log_num_nodes",2.05716067594938,0.896881253529185,0.29927341903218,3.81504793286658,2.29368232177287,0.0218087529196615,0.0557334796835794,"Full","ROC-AUC",""
"10","max_log_mass",-0.221855707293333,0.115990749568796,-0.449197576448173,0.00548616186150624,-1.91270172938875,0.0557862476806676,0.128308369665536,"Full","ROC-AUC",""
"11","median_log_mass",-0.136628449565375,0.0885988786813915,-0.310282251780903,0.0370253526501523,-1.54210134031946,0.123048969317215,0.257284208572358,"Full","ROC-AUC",""
"12","cannibalistic_removal",-12.6380113193536,10.3422619734509,-32.9088447873173,7.63282214861009,-1.22197748923747,0.221716139812279,0.4249559346402,"Full","ROC-AUC",""
"13","assort_mov",1.06494197990159,1.06795839585252,-1.02825647596935,3.15814043577254,0.997175530467626,0.318679316091068,0.458101516880911,"Full","ROC-AUC",""
"14","deg_assort_oi",0.424743737490973,0.413888382935979,-0.386477493063545,1.23596496804549,1.02622773434226,0.30478425133974,0.458101516880911,"Full","ROC-AUC",""
"15","deg_assort_ii",-0.688556590423989,0.680975733470218,-2.02326902802562,0.646155847177639,-1.01113234522343,0.311953091182875,0.458101516880911,"Full","ROC-AUC",""
"16","high_tax_frac",-0.620040387266229,0.59677948744395,-1.78972818265637,0.549647408123914,-1.03897737826397,0.298815257244047,0.458101516880911,"Full","ROC-AUC",""
"17","deg_assort_oo",0.462745619701039,0.52632331478964,-0.568848077286655,1.49433931668873,0.879204106483462,0.379290618289666,0.513157895333077,"Full","ROC-AUC",""
"18","num_attr",-0.0768547699224336,0.0967280758989991,-0.266441798684472,0.112732258839605,-0.794544595332211,0.426878458090812,0.545455807560482,"Full","ROC-AUC",""
"19","assort_met",5.40637174380219,7.297693928658,-8.89710835636748,19.7098518439719,0.740832898262752,0.458794765286867,0.555383136926208,"Full","ROC-AUC",""
"20","mass_skewness",0.240944516585105,0.352994731792449,-0.450925157728094,0.932814190898305,0.682572556711056,0.494876980206649,0.569108527237647,"Full","ROC-AUC",""
"21","unclassified_tax_frac",-1.16358256658711,1.94342576951197,-4.97269707483057,2.64553194165634,-0.598727558747618,0.549354576531352,0.601674060010528,"Full","ROC-AUC",""
"22","deg_assort_io",0.18164486391089,0.925735333735436,-1.63279639021056,1.99608611803235,0.196216842213352,0.844440446110394,0.882824102751776,"Full","ROC-AUC",""
"23","assort_mass",-0.0492311946134919,1.67578009093133,-3.3337601728389,3.23529778361191,-0.0293780758465338,0.976563058196568,0.976563058196568,"Full","ROC-AUC",""
"24","min_log_mass",-0.126460902416667,0.00853768955200273,-0.143194773938592,-0.109727030894741,-14.812075520713,0.000000000000000000000000000000000000000000000000122401653993722,0.0000000000000000000000000000000000000000000000028152380418556,"Attribute","ROC-AUC","****"
"25","connectance",9.73201438127831,0.849673252027524,8.06665480730436,11.3973739552523,11.4538316441707,0.00000000000000000000000000000224976330135334,0.0000000000000000000000000000258722779655634,"Attribute","ROC-AUC","****"
"26","clustering_coefficient",1.69557936900147,0.150243256044739,1.40110258715378,1.99005615084916,11.2855605878014,0.0000000000000000000000000000154652473746858,0.000000000000000000000000000118566896539258,"Attribute","ROC-AUC","****"
"27","avg_degree",0.0566707151236716,0.0056538006036234,0.0455892659405697,0.0677521643067734,10.0234725447078,0.0000000000000000000000120203787067925,0.0000000000000000000000691171775640568,"Attribute","ROC-AUC","****"
"28","parasitic_removal",-11.3319451044227,1.74331446980206,-14.7488414652347,-7.91504874361064,-6.50023005069724,0.0000000000801972767935757,0.000000000368907473250448,"Attribute","ROC-AUC","****"
"29","high_tax_frac",-1.52431234269059,0.244972860666934,-2.00445914959778,-1.04416553578339,-6.22237230091804,0.000000000489693317197828,0.00000000187715771592501,"Attribute","ROC-AUC","****"
"30","assort_met",17.6211250175963,3.19697647576718,11.3550511250926,23.8871989100999,5.51180940840915,0.0000000355163400482731,0.000000116696545872897,"Attribute","ROC-AUC","****"
