"","feature_name","coef_estimate","coef_std_error","coef_p_adjusted","model","metric","significance"
"58","assort_mass",8.95870777768689,5.81451214934619,0.236473960900472,"Structure","ROC-AUC",""
"59","clustering_coefficient",1.20215654718118,0.868953712866025,0.294622985217885,"Structure","ROC-AUC",""
"60","deg_assort_oi",0.391861960680798,0.348682320495645,0.428920991778933,"Structure","ROC-AUC",""
"61","parasitic_removal",295.523953531295,285.422331770016,0.431948559647127,"Structure","ROC-AUC",""
"62","mean_log_mass",-0.139358009384398,0.13023259418415,0.431948559647127,"Structure","ROC-AUC",""
"63","unclassified_tax_frac",3.24826031577753,3.29382143814524,0.438421705730525,"Structure","ROC-AUC",""
"64","assort_mov",3.02986377456346,3.29355931020663,0.456941262379936,"Structure","ROC-AUC",""
"65","min_log_mass",-0.122678403827765,0.198976285957007,0.65069783348064,"Structure","ROC-AUC",""
"66","num_attr",-0.0351861153275145,0.101683611364789,0.76929800428257,"Structure","ROC-AUC",""
"67","max_log_mass",-0.0337090360333703,0.0947686362097819,0.76929800428257,"Structure","ROC-AUC",""
"68","mass_skewness",-0.283175016395504,0.839400890910425,0.76929800428257,"Structure","ROC-AUC",""
"69","deg_assort_ii",-0.03095012735719,0.355691779098614,0.93066046685462,"Structure","ROC-AUC",""
"70","high_tax_frac",-8.60558427067584,0.768115799530216,0.000000000000000000000000000901468526351208,"Full","PR-AUC","****"
"71","miss_mass_frac",-5.290263545783,0.548278483923006,0.00000000000000000000571597431429329,"Full","PR-AUC","****"
"72","connectance",17.6628414679939,1.89254166164271,0.0000000000000000000790005126116176,"Full","PR-AUC","****"
"73","modularity",-15.3984651364544,2.068337627329,0.000000000000558060551578989,"Full","PR-AUC","****"
"74","deg_assort_oo",5.97535472525132,0.823600480001675,0.00000000000184543735358366,"Full","PR-AUC","****"
"75","deg_assort_io",-3.97826202908996,1.06264449887272,0.000694995169011146,"Full","PR-AUC","***"
"76","avg_degree",0.072570393724788,0.0271033778254994,0.0213224001417358,"Full","PR-AUC","*"
"77","clustering_coefficient",3.41200820552478,1.27345227543225,0.0213224001417358,"Full","PR-AUC","*"
"78","mass_skewness",2.71395501406789,1.27753946480422,0.0859688086182213,"Full","PR-AUC",""
"79","assort_mass",17.8235539299779,9.06477801778411,0.112687618890054,"Full","PR-AUC",""
"80","deg_assort_oi",0.987379716245498,0.512209581440768,0.112687618890054,"Full","PR-AUC",""
"81","unclassified_tax_frac",8.78000935531383,4.85201449588897,0.134704815383438,"Full","PR-AUC",""
"82","max_log_mass",-0.252055418006188,0.142119096445026,0.134704815383438,"Full","PR-AUC",""
"83","assort_mov",-8.33981983837771,5.11268595611318,0.168964336291008,"Full","PR-AUC",""
"84","mean_log_mass",-0.300182184863765,0.189443728381775,0.173373483191307,"Full","PR-AUC",""
"85","log_num_nodes",-0.995430019173712,0.705733820635829,0.214299451543962,"Full","PR-AUC",""
"86","median_log_mass",-0.135458435997834,0.0955938284504719,0.214299451543962,"Full","PR-AUC",""
"87","deg_assort_ii",-0.477139331022847,0.542454392794011,0.458885817351741,"Full","PR-AUC",""
"88","num_attr",-0.14023430587543,0.155284923918347,0.458885817351741,"Full","PR-AUC",""
"89","parasitic_removal",282.534352489045,359.105739915657,0.496127628128475,"Full","PR-AUC",""
"90","cannibalistic_removal",2.72252340699972,7.23548279860348,0.774019298951001,"Full","PR-AUC",""
"91","assort_met",0.603959791260533,6.22623057251457,0.946703437412398,"Full","PR-AUC",""
"92","min_log_mass",-0.0201551916081494,0.301511892134381,0.946703437412398,"Full","PR-AUC",""
"93","modularity",-13.7663971961099,1.43318782269031,0.0000000000000000000174419572763608,"Attribute","PR-AUC","****"
