"","feature_name","mean_coef","mean_coef_se","mean_coef_conf_low","mean_coef_conf_high","mean_coef_zvalue","mean_coef_pvalue","p_adjusted","model","metric","significance"
"1","avg_degree",0.22443542660514,0.0156575574421478,0.19374661401853,0.25512423919175,14.3339998869168,0.000000000000000000000000000000000000000000000134165378220245,0.00000000000000000000000000000000000000000000179378597087387,"Full","ROC-AUC","****"
"2","cannibalistic_removal",-10.4849991119173,0.732169831551786,-11.9200519817588,-9.04994624207581,-14.3204467871819,0.000000000000000000000000000000000000000000000163071451897625,0.00000000000000000000000000000000000000000000179378597087387,"Full","ROC-AUC","****"
"3","log_num_nodes",2.26208450438151,0.172772567951618,1.92345027119634,2.60071873756669,13.0928453006207,0.00000000000000000000000000000000000000361796425735965,0.0000000000000000000000000000000000000265317378873041,"Full","ROC-AUC","****"
"4","unclassified_tax_frac",-6.43819698964762,0.515490719860219,-7.44855880057365,-5.42783517872159,-12.4894527517264,0.00000000000000000000000000000000000852379182430501,0.0000000000000000000000000000000000468808550336776,"Full","ROC-AUC","****"
"5","mass_skewness",-1.44887759706803,0.170738125480155,-1.78352432300914,-1.11423087112693,-8.48596406334823,0.0000000000000000213937559104407,0.0000000000000000941325260059391,"Full","ROC-AUC","****"
"6","max_log_mass",0.212964487081055,0.0461257503447918,0.122558016405263,0.303370957756846,4.61704114272693,0.00000389250120632403,0.0000142725044231881,"Full","ROC-AUC","****"
"7","num_attr",0.272848132994671,0.0622479419245609,0.150842166822532,0.39485409916681,4.383247454596,0.000011692317410747,0.0000367472832909191,"Full","ROC-AUC","****"
"8","min_log_mass",-0.16721385510721,0.0413990386915817,-0.24835597094271,-0.0860717392717101,-4.03907579480131,0.0000536622240697893,0.00014757111619192,"Full","ROC-AUC","***"
"9","deg_assort_oo",0.996833032180905,0.269969672384313,0.467692474307652,1.52597359005416,3.69238893901339,0.000222157366049347,0.000543051339231737,"Full","ROC-AUC","***"
"10","modularity",-2.30599553605504,0.696164440265006,-3.67047783897445,-0.941513233135625,-3.31242936679906,0.000924894776959594,0.00196814867424074,"Full","ROC-AUC","**"
"11","assort_mov",3.05310384751469,0.926575464755519,1.23701593659388,4.86919175843551,3.29504067790125,0.000984074337120372,0.00196814867424074,"Full","ROC-AUC","**"
"12","miss_mass_frac",2.29926298253658,0.917402578842671,0.501153928004946,4.09737203706822,2.50627481932432,0.0122010746242554,0.022368636811135,"Full","ROC-AUC","*"
"13","deg_assort_ii",-0.502564090580427,0.204858253735536,-0.904086267902077,-0.101041913258777,-2.45322842217145,0.0141580402088322,0.0239597603534083,"Full","ROC-AUC","*"
"14","assort_mass",3.62835431000423,1.54744373636929,0.595364586720413,6.66134403328805,2.34474070024497,0.0190403161886155,0.0299204968678244,"Full","ROC-AUC","*"
"15","deg_assort_io",0.741887611677341,0.500954062365811,-0.239982350559648,1.72375757391433,1.48094938720268,0.138620061081107,0.203309422918957,"Full","ROC-AUC",""
"16","assort_met",1.83709945831407,1.28385960097673,-0.679265359600323,4.35346427622847,1.43091928191871,0.152453350177493,0.209623356494053,"Full","ROC-AUC",""
"17","connectance",-1.74544110639899,1.34701588844112,-4.3855922477436,0.894710034945614,-1.29578360684294,0.195050047397371,0.252417708396598,"Full","ROC-AUC",""
"18","high_tax_frac",-0.837882827973964,0.679168542873999,-2.169053172007,0.493287516059075,-1.23368909936309,0.217318777366452,0.265611839003441,"Full","ROC-AUC",""
"19","median_log_mass",0.0876497861919949,0.0739502394931998,-0.0572926832146766,0.232592255598666,1.18525358122816,0.235917200614132,0.273167284921626,"Full","ROC-AUC",""
"20","deg_assort_oi",0.188479602861897,0.175614730852678,-0.155725269609351,0.532684475333146,1.0732562237049,0.283156170690289,0.311471787759318,"Full","ROC-AUC",""
"21","mean_log_mass",0.0607729054338721,0.105561674808852,-0.146127977191478,0.267673788059222,0.575709939652985,0.564811255794531,0.591707029879985,"Full","ROC-AUC",""
"22","clustering_coefficient",-0.0860947932853209,0.452020941304559,-0.972055838242256,0.799866251671615,-0.190466382015059,0.848943684218763,0.848943684218763,"Full","ROC-AUC",""
"23","cannibalistic_removal",-7.68985951600621,0.647134536081518,-8.95824320672599,-6.42147582528644,-11.8829379166955,0.0000000000000000000000000000000145173667313807,0.000000000000000000000000000000319382068090376,"Attribute","ROC-AUC","****"
"24","unclassified_tax_frac",-4.18585077783483,0.456291042750062,-5.08018122162496,-3.29152033404471,-9.173642227572,0.0000000000000000000457300898536385,0.000000000000000000503030988390023,"Attribute","ROC-AUC","****"
"25","avg_degree",0.109245811383329,0.0142137113356633,0.0813869371654287,0.137104685601229,7.68594554957808,0.0000000000000151871094254995,0.000000000000111372135786996,"Attribute","ROC-AUC","****"
"26","log_num_nodes",1.06035924566741,0.15577872625439,0.755032942208805,1.36568554912602,6.80682960480636,0.00000000000997729847101499,0.0000000000548751415905824,"Attribute","ROC-AUC","****"
"27","modularity",-3.0678693490928,0.492972362725325,-4.03409518003443,-2.10164351815116,-6.22320758943267,0.000000000487092202344785,0.00000000214320569031706,"Attribute","ROC-AUC","****"
"28","mass_skewness",-0.806581857451395,0.146241754481591,-1.09321569623531,-0.519948018667477,-5.51540057974981,0.0000000347986421722344,0.000000127595021298193,"Attribute","ROC-AUC","****"
"29","deg_assort_oi",0.639947583423328,0.133274635886004,0.37872929708676,0.901165869759896,4.80172074130222,0.00000157307971425205,0.00000494396481622071,"Attribute","ROC-AUC","****"
