id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 0 1 0 0 -1.193820026016113
1 1 0 0 0 1 0 0 1.1760912590556813
2 0 1 0 1 0 0 0 -0.8538719643217618
3 1 0 0 0 1 0 0 1.1992064791616577
4 1 0 0 0 1 0 0 -0.39794000867203766
5 1 0 0 0 0 0 1 1.6020599913279625
6 0 0 1 0 0 0 1 -3.642065152999546
7 1 0 0 0 1 0 0 -2.0
8 1 0 0 0 1 0 0 -0.7011469235902933
9 1 0 0 1 0 0 0 -3.154901959985743
10 1 0 0 0 1 0 0 -0.8507808873446201
11 1 0 0 0 1 0 0 -3.3010299956639813
12 1 0 0 0 1 0 0 -2.9208187539523753
13 1 0 0 1 0 0 0 -0.25963731050575617
14 1 0 0 1 0 0 0 -0.9956786262173574
15 1 0 0 0 1 0 0 -1.0
16 1 0 0 0 1 0 0 -3.0
17 1 0 0 0 1 0 0 -1.4436974992327127
18 1 0 0 0 1 0 0 -2.337242168318426
19 0 1 0 1 0 0 0 -2.0
20 1 0 0 0 0 0 1 -2.1079053973095196
21 0 0 1 0 0 0 1 -3.642065152999546
22 0 0 1 0 0 0 1 -3.642065152999546
23 1 0 0 0 1 0 0 0.250420002308894
24 1 0 0 0 1 0 0 -3.3010299956639813
25 0 0 1 0 0 0 1 -3.642065152999546
26 1 0 0 0 0 0 1 -0.6777807052660807
27 1 0 0 0 1 0 0 -2.0
28 1 0 0 0 1 0 0 -2.795880017344075
29 0 0 1 0 0 1 0 -4.0
30 1 0 0 0 0 0 1 -2.0457574905606752
31 1 0 0 0 0 0 1 -3.154901959985743
32 1 0 0 0 0 0 1 -2.853871964321762
33 1 0 0 1 0 0 0 -3.0
34 1 0 0 0 1 0 0 -3.3010299956639813
35 0 0 1 0 0 0 1 -3.642065152999546
36 0 0 1 0 0 0 1 -3.642065152999546
37 1 0 0 0 0 0 1 -0.8239087409443188
