,streams,terrestrial aboveground,terrestrial belowground,lakes,marine
assort_mov_25quant,-0.0695,-0.03,0.040999999999999995,0.0,-0.10300000000000001
assort_mov_median,-0.0275,0.017,0.0465,0.0,-0.0615
assort_mov_mean,-0.03971428571428571,0.10947619047619045,0.06125000000000001,-0.0015454545454545454,-0.06247761194029851
assort_mov_75quant,-0.0055000000000000005,0.3,0.05425000000000001,0.0,-0.02525
assort_mov_max,0.012,0.368,0.40700000000000003,0.027000000000000003,0.16399999999999998
assort_mass_min,-0.051,-0.079,0.027999999999999997,-0.075,-0.172
assort_mass_25quant,-0.01225,0.016,0.15675,-0.0195,-0.00075
assort_mass_median,-0.003,0.053,0.1735,-0.008,0.019
assort_mass_mean,-0.0010357142857142859,0.03842857142857143,0.16694230769230767,-0.0032727272727272726,0.018574626865671642
assort_mass_75quant,0.01625,0.07,0.18425000000000002,0.010000000000000002,0.04
assort_mass_max,0.048,0.114,0.223,0.071,0.12
deg_assort_io_min,-0.785,-0.7381,-0.2976,-0.5989,-0.3652
deg_assort_io_25quant,-0.36995,-0.4724,-0.180825,-0.4229,-0.2012
deg_assort_io_median,-0.24070000000000003,-0.1584,-0.12525,-0.342,-0.12065000000000001
deg_assort_io_mean,-0.2830142857142858,-0.26484285714285716,-0.134175,-0.3428236363636364,-0.11698955223880597
deg_assort_io_75quant,-0.15085,-0.0577,-0.0877,-0.24880000000000002,-0.049175
deg_assort_io_max,-0.0807,0.0426,0.0363,0.0,0.3702
deg_assort_oi_min,-0.4598,-0.4888,-0.6783,-0.861,-0.8174
deg_assort_oi_25quant,-0.22540000000000002,-0.3496,-0.34235,-0.6994499999999999,-0.3907
deg_assort_oi_median,-0.10775,-0.1995,-0.27,-0.6138,-0.1754
deg_assort_oi_mean,0.038139285714285716,-0.23998095238095238,-0.266875,-0.5848745454545455,-0.11158432835820895
deg_assort_oi_75quant,0.2342,-0.1458,-0.170725,-0.49625,0.126425
deg_assort_oi_max,0.9289,-0.0963,0.015,-0.0091,0.8617
deg_assort_oo_min,-0.0164,-0.6856,-0.1758,0.0,-0.6236
deg_assort_oo_25quant,0.086225,0.0055,-0.03835,0.31884999999999997,-0.08644999999999999
deg_assort_oo_median,0.21785,0.1487,0.032350000000000004,0.4477,0.03560000000000001
deg_assort_oo_mean,0.2458392857142857,0.13649999999999998,0.04569038461538462,0.4276400000000001,0.005179850746268654
deg_assort_oo_75quant,0.33005,0.3202,0.10225,0.53365,0.14284999999999998
deg_assort_oo_max,0.8244,0.5544,0.4025,0.8054,0.523
deg_assort_ii_min,-0.9467,-0.2465,-0.013000000000000001,-0.3066,-0.6376
deg_assort_ii_25quant,-0.4852000000000001,0.0473,0.24535,-0.00675,-0.10149999999999999
deg_assort_ii_median,-0.2419,0.134,0.2853,0.1427,0.17015
deg_assort_ii_mean,-0.22235,0.07189047619047619,0.2838057692307693,0.1447490909090909,0.1078783582089552
deg_assort_ii_75quant,0.11027499999999998,0.156,0.324225,0.3016,0.34305
deg_assort_ii_max,0.3752,0.2466,0.4678,0.7193,0.6524
miss_mass_frac_min,0.0,0.0,0.01,0.0,0.0
miss_mass_frac_25quant,0.052750000000000005,0.0,0.0645,0.0155,0.0
miss_mass_frac_median,0.0975,0.017,0.07250000000000001,0.024,0.0
miss_mass_frac_mean,0.23700000000000002,0.0953333333333333,0.07055769230769231,0.0353090909090909,0.015029850746268659
miss_mass_frac_75quant,0.50675,0.217,0.076,0.0315,0.0
miss_mass_frac_max,0.648,0.385,0.126,0.588,0.5
high_tax_frac_min,0.081,0.129,0.179,0.0,0.008
high_tax_frac_25quant,0.13125,0.22699999999999998,0.242,0.1135,0.219
high_tax_frac_median,0.2135,0.39,0.2755,0.172,0.2935
high_tax_frac_mean,0.2541785714285714,0.3309047619047619,0.2925961538461538,0.17627272727272728,0.2822238805970149
high_tax_frac_75quant,0.4195,0.424,0.3035,0.244,0.35224999999999995
high_tax_frac_max,0.465,0.479,0.638,0.373,0.455
unclassified_tax_frac_min,0.025,0.027999999999999997,0.04,0.0,0.006
unclassified_tax_frac_25quant,0.052250000000000005,0.055999999999999994,0.11975,0.068,0.07400000000000001
unclassified_tax_frac_median,0.066,0.087,0.1355,0.091,0.111
unclassified_tax_frac_mean,0.07842857142857143,0.20838095238095236,0.13088461538461538,0.10872727272727274,0.12695522388059702
unclassified_tax_frac_75quant,0.092,0.391,0.14400000000000002,0.1145,0.1735
unclassified_tax_frac_max,0.2,0.6920000000000001,0.191,1.0,0.33299999999999996
parasitic_removal_min,0.0,0.0,0.0,0.0,0.0
parasitic_removal_25quant,0.0,0.0,0.0,0.0,0.0
parasitic_removal_median,0.0,0.005,0.0,0.0,0.0
parasitic_removal_mean,0.00010714285714285715,0.0841904761904762,0.0023846153846153848,0.0,0.0
parasitic_removal_75quant,0.0,0.068,0.0,0.0,0.0
parasitic_removal_max,0.003,0.72,0.077,0.0,0.0
cannibalistic_removal_min,0.0,0.0,0.0,0.0,0.001
cannibalistic_removal_25quant,0.0,0.0,0.019,0.013999999999999999,0.029249999999999998
cannibalistic_removal_median,0.004,0.006,0.021,0.019,0.049
cannibalistic_removal_mean,0.01782142857142857,0.005047619047619048,0.020346153846153847,0.023199999999999995,0.060149253731343284
cannibalistic_removal_75quant,0.024,0.008,0.023,0.027,0.08025
cannibalistic_removal_max,0.091,0.013999999999999999,0.033,0.087,0.26899999999999996
num_attr_min,8.0,7.0,8.0,5.0,7.0
num_attr_25quant,10.0,8.0,11.0,8.0,7.0
num_attr_median,10.5,9.0,11.0,9.0,8.0
num_attr_mean,10.428571428571429,9.619047619047619,10.826923076923077,8.254545454545454,7.865671641791045
num_attr_75quant,11.0,12.0,11.0,9.0,8.0
num_attr_max,13.0,13.0,11.0,11.0,14.0
min_log_mass_min,-11.471083299722345,-8.423658649794207,-15.022276394711154,-13.46470587995723,-20.167491087293765
min_log_mass_25quant,-10.886056647693165,-5.7783313610480045,-15.022276394711154,-11.457174573040819,-4.0
min_log_mass_median,-9.978810700930062,-4.5301779840218375,-15.022276394711154,-10.61798295742513,-4.0
min_log_mass_mean,-10.0379745732742,-4.683563566605646,-14.707719493312656,-10.609740678896994,-4.402500258247692
min_log_mass_75quant,-9.503419976185562,-2.6989700043360187,-15.022276394711154,-10.5543121240832,-4.0
min_log_mass_max,-9.281498311132726,-2.6989700043360187,-4.832682665251824,-3.0034882928220736,-4.0
max_log_mass_min,-2.8696137976329377,3.5185139398778875,-1.5127857215733602,-2.7417564900754847,-1.1784864715952268
max_log_mass_25quant,0.8099921675584141,3.544068044350276,-0.3078908562930815,1.0965622991772308,0.2423006305653051
max_log_mass_median,1.5225396598000067,3.6989700043360183,-0.03533886748059989,2.3010299956639813,0.8298535400884777
max_log_mass_mean,1.390777785974358,4.075475575920555,0.024503047464618597,1.467302199064054,1.0894174506228542
max_log_mass_75quant,2.2584581119603895,4.685884987381298,0.40101216208198964,2.622117525176429,1.625267174652471
max_log_mass_max,4.239424618007431,5.369215857410143,0.9145503986745528,4.698970004336019,7.719292745782383
mean_log_mass_min,-8.320610524147245,-2.4021903883129907,-6.423361264229532,-8.047335026923614,-3.2122642520082003
mean_log_mass_25quant,-5.844893306111562,-2.2370782960707882,-4.746939999865164,-7.142076923920516,-2.5509766121098503
mean_log_mass_median,-5.436250307077653,-1.848051464218304,-4.47076282623195,-6.548774529947049,-2.2879971354681663
mean_log_mass_mean,-5.711821404948296,-0.9550606804562901,-4.595677396626486,-6.32701937881121,-2.2353770350840287
mean_log_mass_75quant,-4.981728125137546,0.8709963399822466,-4.346537556563193,-5.979619894263861,-2.03152063555951
mean_log_mass_max,-4.605451907334038,1.5884342415873594,-2.7120435368275064,2.3234065159992614,2.4648519732311813
median_log_mass_min,-9.79317412396815,-2.6280696369410257,-6.819703293217375,-8.557206321905173,-3.6420651529995465
median_log_mass_25quant,-4.795438735430705,-2.410630105216664,-4.301029995663981,-7.849485002168009,-3.0
median_log_mass_median,-4.156923534613062,-2.1870866433571443,-4.072764851359192,-7.158404410770072,-2.693672679568534
median_log_mass_mean,-5.135601847808554,-0.7167668260531593,-4.112812917555668,-6.804470735501707,-2.5255430886101915
median_log_mass_75quant,-3.846896998908333,1.8720979742742268,-3.7219854223744258,-6.497572880015568,-2.0
median_log_mass_max,-3.509385655147924,2.6824304001857517,-2.729487461781421,2.4654537497382707,2.6839471307515117
mass_skewness_min,0.29099807235434305,0.2536980739060641,0.34306833116203456,0.4242649887234237,0.18839877803635108
mass_skewness_25quant,0.3367136951453676,0.2901006511782676,0.4434599060253294,0.5503157931179569,0.674691814537142
mass_skewness_median,0.4520272589954367,0.5943874604728674,0.5142843678200046,0.651797304541323,0.876276463334646
mass_skewness_mean,0.48131609382000884,0.6396589547748824,0.5710804745623105,0.6750637967843283,0.8958967673359207
mass_skewness_75quant,0.589745845897619,0.9245111544824604,0.6539833842049347,0.7694430598183131,1.0994375934315654
mass_skewness_max,0.8963328462971807,1.6973109348537634,1.1456461843494046,1.1071051051171736,1.658682240818449
